candidate_id,kind,hidden_layer_sizes,hidden_layer_count,max_hidden_width,activation,alpha,optimizer,seed,input_dim,output_dim,parameter_count,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap,fit_seconds
mlp_layers=8x8_act=tanh_alpha=0.0001,torch_mlp,"(8, 8)",2,8,tanh,0.0001,torch_lbfgs,215,111,3,995,995.0,37,torch mlp 8x8 tanh a=0.0001,0.834507,0.512195,0.322312,0.053169,0.266667,0.213498,0.154101
mlp_layers=8x8_act=tanh_alpha=0.001,torch_mlp,"(8, 8)",2,8,tanh,0.001,torch_lbfgs,215,111,3,995,995.0,38,torch mlp 8x8 tanh a=0.001,0.834507,0.463415,0.371092,0.049296,0.281301,0.232005,0.153657
mlp_layers=8x8_act=tanh_alpha=0.01,torch_mlp,"(8, 8)",2,8,tanh,0.01,torch_lbfgs,215,111,3,995,995.0,39,torch mlp 8x8 tanh a=0.01,0.866197,0.455285,0.410912,0.038028,0.281301,0.243273,0.15347
mlp_layers=8x8_act=tanh_alpha=0.1,torch_mlp,"(8, 8)",2,8,tanh,0.1,torch_lbfgs,215,111,3,995,995.0,40,torch mlp 8x8 tanh a=0.1,0.862676,0.479675,0.383001,0.033803,0.268293,0.23449,0.153613
mlp_layers=16x16_act=relu_alpha=0.0001,torch_mlp,"(16, 16)",2,16,relu,0.0001,torch_lbfgs,215,111,3,2115,2115.0,41,torch mlp 16x16 relu a=0.0001,0.954225,0.439024,0.515201,0.010915,0.261789,0.250874,0.183391
mlp_layers=16x16_act=relu_alpha=0.001,torch_mlp,"(16, 16)",2,16,relu,0.001,torch_lbfgs,215,111,3,2115,2115.0,42,torch mlp 16x16 relu a=0.001,0.940141,0.512195,0.427946,0.01338,0.250407,0.237027,0.182523
mlp_layers=16x16_act=relu_alpha=0.01,torch_mlp,"(16, 16)",2,16,relu,0.01,torch_lbfgs,215,111,3,2115,2115.0,43,torch mlp 16x16 relu a=0.01,0.940141,0.447154,0.492987,0.014789,0.281301,0.266512,0.182449
mlp_layers=16x16_act=relu_alpha=0.1,torch_mlp,"(16, 16)",2,16,relu,0.1,torch_lbfgs,215,111,3,2115,2115.0,44,torch mlp 16x16 relu a=0.1,0.957746,0.455285,0.502461,0.009507,0.271545,0.262038,0.181931
mlp_layers=16x16_act=tanh_alpha=0.0001,torch_mlp,"(16, 16)",2,16,tanh,0.0001,torch_lbfgs,215,111,3,2115,2115.0,45,torch mlp 16x16 tanh a=0.0001,0.984155,0.439024,0.545131,0.003873,0.292683,0.28881,0.197493
mlp_layers=16x16_act=tanh_alpha=0.001,torch_mlp,"(16, 16)",2,16,tanh,0.001,torch_lbfgs,215,111,3,2115,2115.0,46,torch mlp 16x16 tanh a=0.001,0.985915,0.406504,0.579411,0.004225,0.315447,0.311222,0.199668
