replicate,rows,unique_groups,top1_hit_rate,mean_regret,median_regret
76,113,57,0.37168141592920356,0.31858407079646023,0.2
77,111,58,0.45045045045045046,0.25045045045045045,0.2
78,129,51,0.4496124031007752,0.3007751937984496,0.2
79,115,59,0.46956521739130436,0.24521739130434783,0.2
80,129,56,0.4108527131782946,0.32248062015503876,0.2
81,114,52,0.41228070175438597,0.2964912280701754,0.2
82,123,52,0.44715447154471544,0.3008130081300814,0.2
83,126,53,0.5238095238095238,0.22857142857142854,0.0
84,125,57,0.528,0.264,0.0
85,120,59,0.38333333333333336,0.3183333333333333,0.2
86,123,60,0.37398373983739835,0.3252032520325203,0.2
87,124,57,0.46774193548387094,0.27741935483870966,0.2
88,117,59,0.452991452991453,0.28547008547008546,0.2
89,113,52,0.39823008849557523,0.2743362831858407,0.2
90,122,57,0.48360655737704916,0.26229508196721313,0.2
91,125,58,0.36,0.32,0.2
92,124,54,0.47580645161290325,0.2758064516129033,0.2
93,113,55,0.48672566371681414,0.25486725663716814,0.2
94,118,52,0.423728813559322,0.29152542372881357,0.2
95,126,56,0.4603174603174603,0.2777777777777778,0.2
96,120,58,0.35833333333333334,0.3283333333333333,0.2
97,127,56,0.3937007874015748,0.3181102362204724,0.2
98,110,50,0.4818181818181818,0.27454545454545454,0.2
99,120,56,0.43333333333333335,0.28,0.2
100,120,54,0.38333333333333336,0.36166666666666664,0.30000000000000004
101,118,55,0.4406779661016949,0.2847457627118644,0.2
102,121,58,0.36363636363636365,0.3173553719008264,0.2
103,119,54,0.37815126050420167,0.34285714285714275,0.2
104,127,51,0.3937007874015748,0.29606299212598436,0.2
105,126,60,0.4523809523809524,0.2888888888888889,0.2
106,115,59,0.48695652173913045,0.28,0.2
107,120,59,0.4083333333333333,0.26833333333333337,0.2
108,123,50,0.4065040650406504,0.3333333333333333,0.2
109,119,57,0.3445378151260504,0.3495798319327732,0.2
110,125,55,0.528,0.24480000000000002,0.0
111,127,57,0.4094488188976378,0.28503937007874014,0.2
112,125,55,0.376,0.32,0.2
113,114,54,0.41228070175438597,0.30350877192982456,0.2
114,122,61,0.38524590163934425,0.33606557377049184,0.2
115,121,58,0.4380165289256198,0.31404958677685957,0.2
116,123,60,0.37398373983739835,0.34146341463414637,0.2
117,126,54,0.4126984126984127,0.3,0.2
118,117,47,0.42735042735042733,0.31794871794871793,0.2
119,120,62,0.43333333333333335,0.31,0.2
120,122,58,0.4180327868852459,0.3081967213114754,0.2
121,121,58,0.4132231404958678,0.29421487603305785,0.2
122,119,59,0.4789915966386555,0.2588235294117647,0.2
123,117,54,0.36752136752136755,0.30940170940170947,0.2
124,126,61,0.4126984126984127,0.2984126984126984,0.2
125,127,55,0.49606299212598426,0.2661417322834646,0.2
126,117,54,0.36752136752136755,0.3076923076923077,0.2
127,115,59,0.45217391304347826,0.28347826086956524,0.2
128,117,58,0.4017094017094017,0.2854700854700855,0.2
129,125,59,0.416,0.31520000000000004,0.2
130,118,58,0.3983050847457627,0.3067796610169491,0.2
131,118,57,0.4152542372881356,0.2627118644067797,0.2
132,126,62,0.36507936507936506,0.2888888888888889,0.2
133,119,58,0.37815126050420167,0.2924369747899159,0.2
134,123,56,0.42276422764227645,0.28130081300813015,0.2
135,124,58,0.3629032258064516,0.36129032258064514,0.4
136,129,59,0.37209302325581395,0.32403100775193794,0.2
137,120,60,0.43333333333333335,0.27666666666666667,0.2
138,123,58,0.34146341463414637,0.37073170731707317,0.4
139,125,61,0.368,0.3328,0.2
140,124,57,0.3790322580645161,0.31935483870967746,0.2
141,119,58,0.3277310924369748,0.34957983193277314,0.4
142,117,61,0.37606837606837606,0.30427350427350436,0.2
143,120,59,0.48333333333333334,0.28500000000000003,0.2
144,119,56,0.453781512605042,0.27394957983193285,0.2
145,122,58,0.39344262295081966,0.30327868852459017,0.2
146,127,53,0.4251968503937008,0.29133858267716534,0.2
147,119,59,0.4117647058823529,0.2974789915966387,0.2
148,125,60,0.352,0.3184,0.2
149,123,57,0.34959349593495936,0.3479674796747968,0.2
150,120,57,0.38333333333333336,0.305,0.2
151,122,62,0.4426229508196721,0.27540983606557373,0.2
152,123,59,0.45528455284552843,0.2959349593495934,0.2
153,122,57,0.4426229508196721,0.28360655737704926,0.2
154,119,60,0.42857142857142855,0.30420168067226894,0.2
155,116,52,0.39655172413793105,0.2844827586206898,0.2
156,122,59,0.4180327868852459,0.2836065573770492,0.2
157,124,54,0.4112903225806452,0.33548387096774185,0.2
158,124,60,0.3951612903225806,0.3000000000000001,0.2
159,127,59,0.3543307086614173,0.33543307086614177,0.2
160,117,62,0.37606837606837606,0.3128205128205128,0.2
161,124,51,0.3629032258064516,0.33870967741935487,0.2
162,123,56,0.5040650406504065,0.24715447154471543,0.0
163,123,54,0.3089430894308943,0.3902439024390244,0.4
164,121,63,0.39669421487603307,0.32727272727272727,0.2
165,129,54,0.4728682170542636,0.28527131782945736,0.2
166,121,56,0.3305785123966942,0.3305785123966942,0.2
