model,dim_i,dim_j,tau_correct,tau_incorrect,delta,abs_delta
Cambrian-34B,MA,QLq,0.2961,0.2363,+0.0598,0.0598
Cambrian-34B,MCu,VO,0.2800,0.2275,+0.0525,0.0525
Cambrian-34B,QLl,QLq,0.3938,0.4454,-0.0516,0.0516
Cambrian-34B,MCr,GS,0.0553,0.1060,-0.0507,0.0507
Cambrian-34B,MCr,MCu,0.4109,0.3624,+0.0486,0.0486
Cambrian-34B,QLl,KNf,0.1034,0.1492,-0.0458,0.0458
Cambrian-34B,VL,KNf,-0.0264,-0.0702,+0.0438,0.0438
Cambrian-34B,GS,QLq,-0.0699,-0.1129,+0.0430,0.0430
Cambrian-34B,MCu,KNf,0.2276,0.1849,+0.0427,0.0427
Cambrian-34B,VO,AT,0.2306,0.2729,-0.0423,0.0423
Cambrian-34B,AT,GS,0.1835,0.2251,-0.0417,0.0417
Cambrian-34B,KNf,QLq,0.3283,0.2873,+0.0410,0.0410
Cambrian-34B,VO,GS,0.0692,0.0295,+0.0397,0.0397
Cambrian-34B,VL,QLq,0.1315,0.0943,+0.0373,0.0373
Cambrian-34B,AT,QLl,0.2205,0.2574,-0.0369,0.0369
Cambrian-34B,MCr,AT,0.3967,0.3609,+0.0359,0.0359
Cambrian-34B,MA,CL,0.0540,0.0899,-0.0358,0.0358
Cambrian-34B,VL,AS,0.3717,0.4012,-0.0295,0.0295
Cambrian-34B,VL,GS,-0.0246,0.0036,-0.0282,0.0282
Cambrian-34B,AS,CL,0.1392,0.1648,-0.0256,0.0256
Cambrian-34B,AS,VO,0.2814,0.3067,-0.0254,0.0254
Cambrian-34B,AS,KNf,0.0158,-0.0082,+0.0240,0.0240
Cambrian-34B,VL,QLl,0.2378,0.2581,-0.0202,0.0202
Cambrian-34B,VO,KNf,0.1109,0.0909,+0.0201,0.0201
Cambrian-34B,MA,KNf,0.1110,0.0913,+0.0197,0.0197
Cambrian-34B,MCu,CL,0.2028,0.2145,-0.0117,0.0117
Cambrian-34B,VL,MA,0.3477,0.3593,-0.0116,0.0116
Cambrian-34B,AS,GS,0.1418,0.1304,+0.0114,0.0114
Cambrian-34B,VO,QLq,0.3187,0.3282,-0.0095,0.0095
Cambrian-34B,MCu,GS,0.1394,0.1485,-0.0091,0.0091
Cambrian-34B,AS,MCr,0.4410,0.4498,-0.0088,0.0088
Cambrian-34B,AT,KNf,0.1108,0.1169,-0.0061,0.0061
Cambrian-34B,MCr,QLl,0.3847,0.3826,+0.0022,0.0022
Cambrian-34B,KNf,CL,0.1345,0.1333,+0.0012,0.0012
Cambrian-34B,AS,QLl,0.2232,0.2232,+0.0000,0.0000
ChartGemma,MA,AT,0.4034,0.0955,+0.3079,0.3079
ChartGemma,VL,AT,0.4017,0.0960,+0.3057,0.3057
ChartGemma,QLl,KNf,-0.0983,0.1669,-0.2652,0.2652
ChartGemma,MCu,MA,0.4087,0.1705,+0.2383,0.2383
ChartGemma,QLq,CL,0.2957,0.0892,+0.2065,0.2065
ChartGemma,QLl,CL,0.1048,0.2854,-0.1806,0.1806
ChartGemma,VL,MCu,0.3356,0.1644,+0.1712,0.1712
ChartGemma,AS,AT,0.4335,0.2630,+0.1705,0.1705
ChartGemma,VL,CL,0.2707,0.1089,+0.1618,0.1618
ChartGemma,MCr,MA,0.4242,0.2647,+0.1596,0.1596
ChartGemma,MCu,VO,0.3824,0.2233,+0.1591,0.1591
ChartGemma,VL,MA,0.4945,0.3449,+0.1497,0.1497
ChartGemma,MA,CL,0.2078,0.0606,+0.1472,0.1472
ChartGemma,MCr,QLq,0.3440,0.1986,+0.1454,0.1454
ChartGemma,VO,GS,0.1571,0.0140,+0.1431,0.1431
ChartGemma,AS,MCu,0.4361,0.3013,+0.1348,0.1348
ChartGemma,MA,QLq,0.3653,0.2335,+0.1318,0.1318
ChartGemma,AS,CL,0.2689,0.1399,+0.1290,0.1290
ChartGemma,VO,QLq,0.2111,0.3387,-0.1276,0.1276
ChartGemma,GS,KNf,0.1556,0.0326,+0.1231,0.1231
ChartGemma,MCu,CL,0.3198,0.1974,+0.1225,0.1225
ChartGemma,VO,KNf,-0.0126,0.1065,-0.1190,0.1190
ChartGemma,GS,QLl,-0.0740,0.0403,-0.1144,0.1144
ChartGemma,VL,VO,0.3911,0.2770,+0.1141,0.1141
ChartGemma,VL,QLq,0.2048,0.0930,+0.1119,0.1119
ChartGemma,VO,AT,0.3592,0.2524,+0.1068,0.1068
ChartGemma,AT,QLq,0.2987,0.1997,+0.0990,0.0990
ChartGemma,KNf,QLq,0.2106,0.3087,-0.0981,0.0981
ChartGemma,MCu,GS,0.2184,0.1247,+0.0937,0.0937
ChartGemma,GS,QLq,-0.0239,-0.1146,+0.0908,0.0908
ChartGemma,MCr,QLl,0.3102,0.3999,-0.0897,0.0897
ChartGemma,VL,AS,0.4734,0.3876,+0.0858,0.0858
ChartGemma,MCr,AT,0.4387,0.3601,+0.0785,0.0785
ChartGemma,MCu,AT,0.3129,0.3850,-0.0720,0.0720
ChartGemma,AS,MA,0.4080,0.3371,+0.0709,0.0709
ChartGemma,VL,KNf,-0.0025,-0.0670,+0.0644,0.0644
ChartGemma,VO,QLl,0.3157,0.3728,-0.0571,0.0571
ChartGemma,MA,GS,0.0332,-0.0230,+0.0562,0.0562
ChartGemma,VL,GS,0.0228,-0.0274,+0.0502,0.0502
ChartGemma,AT,GS,0.2486,0.1998,+0.0488,0.0488
ChartGemma,MCr,MCu,0.4185,0.3718,+0.0466,0.0466
ChartGemma,AT,CL,0.2113,0.2559,-0.0446,0.0446
ChartGemma,QLl,QLq,0.4702,0.4264,+0.0438,0.0438
ChartGemma,AS,KNf,0.0353,-0.0068,+0.0422,0.0422
ChartGemma,AS,GS,0.1589,0.1172,+0.0417,0.0417
ChartGemma,AT,KNf,0.0790,0.1200,-0.0411,0.0411
ChartGemma,MCu,KNf,0.1606,0.2011,-0.0405,0.0405
ChartGemma,AS,QLq,0.1366,0.0984,+0.0382,0.0382
ChartGemma,VL,QLl,0.2283,0.2626,-0.0343,0.0343
ChartGemma,KNf,CL,0.1644,0.1312,+0.0331,0.0331
ChartGemma,MA,KNf,0.0662,0.0986,-0.0324,0.0324
ChartGemma,MCr,VO,0.3851,0.3536,+0.0315,0.0315
ChartGemma,VL,MCr,0.3779,0.3498,+0.0281,0.0281
ChartGemma,MCr,CL,0.2031,0.2292,-0.0261,0.0261
ChartGemma,MA,QLl,0.3425,0.3176,+0.0248,0.0248
ChartGemma,AS,QLl,0.2457,0.2260,+0.0197,0.0197
ChartGemma,GS,CL,0.3528,0.3720,-0.0192,0.0192
ChartGemma,AS,MCr,0.4676,0.4498,+0.0178,0.0178
ChartGemma,MA,VO,0.3273,0.3113,+0.0160,0.0160
ChartGemma,AT,QLl,0.2639,0.2485,+0.0154,0.0154
ChartGemma,MCr,KNf,0.0709,0.0858,-0.0150,0.0150
ChartGemma,MCu,QLq,0.2407,0.2500,-0.0093,0.0093
ChartGemma,VO,CL,0.2275,0.2199,+0.0076,0.0076
ChartGemma,MCu,QLl,0.2518,0.2578,-0.0060,0.0060
ChartGemma,AS,VO,0.3091,0.3036,+0.0055,0.0055
ChartGemma,MCr,GS,0.0807,0.0781,+0.0026,0.0026
Claude-3-5-Sonnet,VL,AT,0.1953,0.0202,+0.1751,0.1751
Claude-3-5-Sonnet,VO,CL,0.1505,0.2972,-0.1468,0.1468
Claude-3-5-Sonnet,MA,QLl,0.3686,0.2307,+0.1379,0.1379
Claude-3-5-Sonnet,AS,CL,0.2036,0.0666,+0.1370,0.1370
Claude-3-5-Sonnet,MA,QLq,0.3039,0.1788,+0.1251,0.1251
Claude-3-5-Sonnet,MA,AT,0.1721,0.0489,+0.1232,0.1232
Claude-3-5-Sonnet,VL,MCu,0.2153,0.0927,+0.1227,0.1227
Claude-3-5-Sonnet,MA,GS,0.0240,-0.0884,+0.1125,0.1125
Claude-3-5-Sonnet,MCr,QLl,0.3425,0.4544,-0.1118,0.1118
Claude-3-5-Sonnet,KNf,QLq,0.2586,0.3610,-0.1025,0.1025
Claude-3-5-Sonnet,VL,AS,0.4264,0.3241,+0.1023,0.1023
Claude-3-5-Sonnet,AS,GS,0.1634,0.0630,+0.1004,0.1004
Claude-3-5-Sonnet,AS,MCu,0.3352,0.2442,+0.0910,0.0910
Claude-3-5-Sonnet,QLl,CL,0.2301,0.3151,-0.0850,0.0850
Claude-3-5-Sonnet,MCu,VO,0.2625,0.1834,+0.0792,0.0792
Claude-3-5-Sonnet,AT,KNf,0.0837,0.1622,-0.0785,0.0785
Claude-3-5-Sonnet,VO,QLl,0.3314,0.4058,-0.0744,0.0744
Claude-3-5-Sonnet,MCu,AT,0.3398,0.4098,-0.0700,0.0700
Claude-3-5-Sonnet,MA,CL,0.1044,0.0349,+0.0695,0.0695
Claude-3-5-Sonnet,VL,QLl,0.2791,0.2150,+0.0641,0.0641
Claude-3-5-Sonnet,AT,QLq,0.2385,0.1749,+0.0636,0.0636
Claude-3-5-Sonnet,MCr,QLq,0.2006,0.2602,-0.0597,0.0597
Claude-3-5-Sonnet,AS,KNf,-0.0280,0.0306,-0.0586,0.0586
Claude-3-5-Sonnet,MCr,MCu,0.3850,0.3265,+0.0585,0.0585
Claude-3-5-Sonnet,AT,QLl,0.2243,0.2826,-0.0583,0.0583
Claude-3-5-Sonnet,VL,KNf,-0.0893,-0.0328,-0.0565,0.0565
Claude-3-5-Sonnet,AT,GS,0.1861,0.2424,-0.0562,0.0562
Claude-3-5-Sonnet,AS,QLq,0.1283,0.0743,+0.0540,0.0540
Claude-3-5-Sonnet,MCu,MA,0.2094,0.1554,+0.0539,0.0539
Claude-3-5-Sonnet,VO,KNf,0.0680,0.1218,-0.0538,0.0538
Claude-3-5-Sonnet,MCr,GS,0.0580,0.1097,-0.0517,0.0517
Claude-3-5-Sonnet,VL,QLq,0.1276,0.0818,+0.0458,0.0458
Claude-3-5-Sonnet,MCu,QLl,0.2675,0.2247,+0.0428,0.0428
Claude-3-5-Sonnet,MCr,CL,0.2054,0.2472,-0.0418,0.0418
Claude-3-5-Sonnet,MCu,KNf,0.1803,0.2211,-0.0408,0.0408
Claude-3-5-Sonnet,QLq,CL,0.0951,0.1357,-0.0406,0.0406
Claude-3-5-Sonnet,VL,MCr,0.3293,0.3692,-0.0399,0.0399
Claude-3-5-Sonnet,VL,GS,-0.0075,-0.0449,+0.0374,0.0374
Claude-3-5-Sonnet,GS,QLq,-0.1168,-0.0804,-0.0364,0.0364
Claude-3-5-Sonnet,GS,KNf,0.0630,0.0270,+0.0360,0.0360
Claude-3-5-Sonnet,MCr,AT,0.3785,0.3434,+0.0351,0.0351
Claude-3-5-Sonnet,VO,QLq,0.3474,0.3122,+0.0351,0.0351
Claude-3-5-Sonnet,AS,MCr,0.4508,0.4203,+0.0305,0.0305
Claude-3-5-Sonnet,MCu,QLq,0.2686,0.2385,+0.0301,0.0301
Claude-3-5-Sonnet,MCr,KNf,0.0686,0.0972,-0.0286,0.0286
Claude-3-5-Sonnet,MCu,CL,0.2184,0.1917,+0.0267,0.0267
Claude-3-5-Sonnet,VL,VO,0.2947,0.2681,+0.0266,0.0266
Claude-3-5-Sonnet,VO,AT,0.2707,0.2448,+0.0259,0.0259
Claude-3-5-Sonnet,VO,GS,0.0405,0.0168,+0.0236,0.0236
Claude-3-5-Sonnet,MCr,MA,0.2817,0.2591,+0.0226,0.0226
Claude-3-5-Sonnet,MCr,VO,0.3383,0.3603,-0.0220,0.0220
Claude-3-5-Sonnet,VL,MA,0.3663,0.3449,+0.0214,0.0214
Claude-3-5-Sonnet,QLl,QLq,0.4423,0.4232,+0.0191,0.0191
Claude-3-5-Sonnet,AS,AT,0.2863,0.2681,+0.0182,0.0182
Claude-3-5-Sonnet,GS,CL,0.3624,0.3764,-0.0140,0.0140
Claude-3-5-Sonnet,AT,CL,0.2426,0.2565,-0.0139,0.0139
Claude-3-5-Sonnet,QLl,KNf,0.1402,0.1266,+0.0136,0.0136
Claude-3-5-Sonnet,VL,CL,0.1296,0.1161,+0.0135,0.0135
Claude-3-5-Sonnet,MA,VO,0.3133,0.3006,+0.0128,0.0128
Claude-3-5-Sonnet,GS,QLl,0.0231,0.0349,-0.0118,0.0118
Claude-3-5-Sonnet,AS,VO,0.2998,0.2899,+0.0099,0.0099
Claude-3-5-Sonnet,KNf,CL,0.1355,0.1309,+0.0046,0.0046
Claude-3-5-Sonnet,MA,KNf,0.0890,0.0919,-0.0029,0.0029
Claude-3-5-Sonnet,MCu,GS,0.1413,0.1432,-0.0019,0.0019
Claude-3-5-Sonnet,AS,QLl,0.2202,0.2211,-0.0009,0.0009
Claude-3-5-Sonnet,AS,MA,0.3380,0.3388,-0.0008,0.0008
Claude-3-Haiku,KNf,CL,0.2804,0.0623,+0.2181,0.2181
Claude-3-Haiku,MCu,VO,0.3766,0.1795,+0.1972,0.1972
Claude-3-Haiku,MCu,QLq,0.3740,0.1998,+0.1742,0.1742
Claude-3-Haiku,MA,AT,0.2512,0.0832,+0.1679,0.1679
Claude-3-Haiku,VO,QLl,0.2641,0.4075,-0.1434,0.1434
Claude-3-Haiku,MCu,MA,0.3014,0.1624,+0.1390,0.1390
Claude-3-Haiku,MA,GS,0.0701,-0.0526,+0.1227,0.1227
Claude-3-Haiku,GS,CL,0.2892,0.4071,-0.1179,0.1179
Claude-3-Haiku,QLl,CL,0.1869,0.3033,-0.1164,0.1164
Claude-3-Haiku,MCu,QLl,0.3300,0.2196,+0.1104,0.1104
Claude-3-Haiku,QLq,CL,0.1851,0.0756,+0.1095,0.1095
Claude-3-Haiku,AT,CL,0.1800,0.2862,-0.1062,0.1062
Claude-3-Haiku,MCr,MCu,0.4428,0.3372,+0.1055,0.1055
Claude-3-Haiku,VL,GS,-0.0757,0.0289,-0.1046,0.1046
Claude-3-Haiku,VL,AT,0.2025,0.1056,+0.0969,0.0969
Claude-3-Haiku,VL,CL,0.0657,0.1589,-0.0932,0.0932
Claude-3-Haiku,AT,QLq,0.2749,0.1824,+0.0925,0.0925
Claude-3-Haiku,VO,CL,0.1572,0.2465,-0.0893,0.0893
Claude-3-Haiku,MA,CL,0.1431,0.0561,+0.0869,0.0869
Claude-3-Haiku,AS,QLl,0.1732,0.2596,-0.0864,0.0864
Claude-3-Haiku,AS,VO,0.2440,0.3245,-0.0805,0.0805
Claude-3-Haiku,MCr,CL,0.1728,0.2519,-0.0791,0.0791
Claude-3-Haiku,AS,AT,0.3399,0.2635,+0.0765,0.0765
Claude-3-Haiku,VO,KNf,0.1540,0.0782,+0.0757,0.0757
Claude-3-Haiku,VL,VO,0.2296,0.3051,-0.0755,0.0755
Claude-3-Haiku,MA,QLl,0.2729,0.3474,-0.0745,0.0745
Claude-3-Haiku,AT,KNf,0.0696,0.1415,-0.0719,0.0719
Claude-3-Haiku,MA,VO,0.2663,0.3348,-0.0685,0.0685
Claude-3-Haiku,MCr,QLl,0.3421,0.4101,-0.0680,0.0680
Claude-3-Haiku,VO,AT,0.3120,0.2462,+0.0658,0.0658
Claude-3-Haiku,MCr,AT,0.4166,0.3509,+0.0657,0.0657
Claude-3-Haiku,VO,GS,0.0817,0.0173,+0.0644,0.0644
Claude-3-Haiku,VO,QLq,0.3709,0.3183,+0.0526,0.0526
Claude-3-Haiku,MA,QLq,0.2881,0.2363,+0.0518,0.0518
Claude-3-Haiku,AS,KNf,-0.0288,0.0220,-0.0508,0.0508
Claude-3-Haiku,AT,GS,0.1789,0.2291,-0.0502,0.0502
Claude-3-Haiku,VL,MCu,0.2038,0.1581,+0.0457,0.0457
Claude-3-Haiku,MCr,GS,0.0586,0.1037,-0.0451,0.0451
Claude-3-Haiku,MCr,QLq,0.2542,0.2100,+0.0442,0.0442
Claude-3-Haiku,AS,MCu,0.3411,0.3001,+0.0409,0.0409
Claude-3-Haiku,MCu,GS,0.1208,0.1602,-0.0394,0.0394
Claude-3-Haiku,VL,MA,0.3406,0.3799,-0.0393,0.0393
Claude-3-Haiku,MCu,KNf,0.2264,0.1917,+0.0348,0.0348
Claude-3-Haiku,VL,QLl,0.2397,0.2704,-0.0307,0.0307
Claude-3-Haiku,MCu,AT,0.3584,0.3870,-0.0286,0.0286
Claude-3-Haiku,GS,QLl,0.0108,0.0372,-0.0264,0.0264
Claude-3-Haiku,MCr,MA,0.3074,0.2824,+0.0250,0.0250
Claude-3-Haiku,AS,CL,0.1440,0.1656,-0.0216,0.0216
Claude-3-Haiku,MCu,CL,0.2257,0.2052,+0.0205,0.0205
Claude-3-Haiku,VL,MCr,0.3592,0.3402,+0.0190,0.0190
Claude-3-Haiku,AS,GS,0.1228,0.1417,-0.0189,0.0189
Claude-3-Haiku,AT,QLl,0.2412,0.2585,-0.0173,0.0173
Claude-3-Haiku,GS,KNf,0.0304,0.0470,-0.0166,0.0166
Claude-3-Haiku,VL,KNf,-0.0423,-0.0562,+0.0140,0.0140
Claude-3-Haiku,QLl,QLq,0.4425,0.4288,+0.0137,0.0137
Claude-3-Haiku,QLl,KNf,0.1290,0.1418,-0.0127,0.0127
Claude-3-Haiku,MA,KNf,0.1056,0.0948,+0.0108,0.0108
Claude-3-Haiku,MCr,VO,0.3446,0.3551,-0.0105,0.0105
Claude-3-Haiku,KNf,QLq,0.2901,0.3002,-0.0101,0.0101
Claude-3-Haiku,GS,QLq,-0.1015,-0.1093,+0.0078,0.0078
Claude-3-Haiku,AS,MCr,0.4529,0.4453,+0.0076,0.0076
Claude-3-Haiku,VL,QLq,0.1085,0.1160,-0.0075,0.0075
Claude-3-Haiku,AS,MA,0.3452,0.3525,-0.0073,0.0073
Claude-3-Haiku,AS,QLq,0.1095,0.1139,-0.0044,0.0044
Claude-3-Haiku,VL,AS,0.3931,0.3909,+0.0021,0.0021
Claude-3-Haiku,MCr,KNf,0.0919,0.0917,+0.0002,0.0002
Claude-3-Opus,VO,QLl,0.1912,0.4376,-0.2464,0.2464
Claude-3-Opus,MCr,KNf,0.1883,0.0374,+0.1509,0.1509
Claude-3-Opus,VL,QLl,0.1624,0.3057,-0.1433,0.1433
Claude-3-Opus,AS,MCu,0.4068,0.2746,+0.1322,0.1322
Claude-3-Opus,AT,GS,0.2970,0.1659,+0.1311,0.1311
Claude-3-Opus,VO,CL,0.1350,0.2632,-0.1282,0.1282
Claude-3-Opus,VL,CL,0.0415,0.1689,-0.1273,0.1273
Claude-3-Opus,MCu,GS,0.2267,0.1001,+0.1265,0.1265
Claude-3-Opus,VL,GS,-0.0970,0.0213,-0.1183,0.1183
Claude-3-Opus,MA,KNf,0.1702,0.0627,+0.1076,0.1076
Claude-3-Opus,MCr,VO,0.2877,0.3924,-0.1047,0.1047
Claude-3-Opus,AT,CL,0.3224,0.2189,+0.1035,0.1035
Claude-3-Opus,VO,QLq,0.2604,0.3635,-0.1032,0.1032
Claude-3-Opus,AS,MCr,0.5178,0.4166,+0.1012,0.1012
Claude-3-Opus,MCu,CL,0.2823,0.1819,+0.1004,0.1004
Claude-3-Opus,MA,AT,0.1941,0.1109,+0.0832,0.0832
Claude-3-Opus,MCr,GS,0.1344,0.0555,+0.0789,0.0789
Claude-3-Opus,AT,QLl,0.3054,0.2282,+0.0772,0.0772
Claude-3-Opus,MCu,MA,0.2533,0.1800,+0.0733,0.0733
Claude-3-Opus,QLl,CL,0.2173,0.2895,-0.0721,0.0721
Claude-3-Opus,MA,QLq,0.3046,0.2341,+0.0705,0.0705
Claude-3-Opus,AT,QLq,0.2638,0.1948,+0.0690,0.0690
Claude-3-Opus,MCr,QLl,0.3440,0.4121,-0.0681,0.0681
Claude-3-Opus,MA,GS,0.0305,-0.0347,+0.0652,0.0652
Claude-3-Opus,VL,MCr,0.3052,0.3677,-0.0625,0.0625
Claude-3-Opus,QLq,CL,0.0675,0.1289,-0.0614,0.0614
Claude-3-Opus,GS,QLl,0.0670,0.0071,+0.0598,0.0598
Claude-3-Opus,AS,CL,0.1992,0.1403,+0.0589,0.0589
Claude-3-Opus,MCu,QLl,0.2957,0.2424,+0.0533,0.0533
Claude-3-Opus,KNf,QLq,0.2609,0.3136,-0.0526,0.0526
Claude-3-Opus,MCr,MCu,0.4091,0.3585,+0.0506,0.0506
Claude-3-Opus,VO,GS,0.0682,0.0189,+0.0492,0.0492
Claude-3-Opus,MCu,QLq,0.2242,0.2700,-0.0458,0.0458
Claude-3-Opus,MCu,KNf,0.1673,0.2121,-0.0448,0.0448
Claude-3-Opus,AS,QLq,0.1404,0.0957,+0.0447,0.0447
Claude-3-Opus,AS,GS,0.1574,0.1136,+0.0438,0.0438
Claude-3-Opus,GS,CL,0.3933,0.3517,+0.0415,0.0415
Claude-3-Opus,MCr,AT,0.3951,0.3548,+0.0403,0.0403
Claude-3-Opus,MA,VO,0.2849,0.3225,-0.0376,0.0376
Claude-3-Opus,AS,QLl,0.2556,0.2194,+0.0362,0.0362
Claude-3-Opus,GS,KNf,0.0215,0.0569,-0.0353,0.0353
Claude-3-Opus,MCr,MA,0.2637,0.2978,-0.0341,0.0341
Claude-3-Opus,AS,VO,0.2783,0.3119,-0.0336,0.0336
Claude-3-Opus,VL,AT,0.1501,0.1211,+0.0290,0.0290
Claude-3-Opus,VL,AS,0.3770,0.4050,-0.0279,0.0279
Claude-3-Opus,VO,AT,0.2488,0.2755,-0.0267,0.0267
Claude-3-Opus,VL,MA,0.3494,0.3749,-0.0255,0.0255
Claude-3-Opus,MA,QLl,0.3056,0.3300,-0.0244,0.0244
Claude-3-Opus,MCu,AT,0.3558,0.3798,-0.0241,0.0241
Claude-3-Opus,QLl,KNf,0.1186,0.1426,-0.0240,0.0240
Claude-3-Opus,VL,KNf,-0.0704,-0.0510,-0.0194,0.0194
Claude-3-Opus,MCr,CL,0.2409,0.2229,+0.0180,0.0180
Claude-3-Opus,MCu,VO,0.2559,0.2381,+0.0178,0.0178
Claude-3-Opus,VO,KNf,0.0851,0.1009,-0.0159,0.0159
Claude-3-Opus,AS,MA,0.3555,0.3407,+0.0147,0.0147
Claude-3-Opus,MCr,QLq,0.2330,0.2185,+0.0146,0.0146
Claude-3-Opus,AS,AT,0.2963,0.2820,+0.0143,0.0143
Claude-3-Opus,KNf,CL,0.1413,0.1275,+0.0139,0.0139
Claude-3-Opus,AT,KNf,0.1227,0.1132,+0.0095,0.0095
Claude-3-Opus,QLl,QLq,0.4267,0.4347,-0.0079,0.0079
Claude-3-Opus,AS,KNf,-0.0027,0.0041,-0.0068,0.0068
Claude-3-Opus,VL,VO,0.2872,0.2923,-0.0052,0.0052
Claude-3-Opus,MA,CL,0.0858,0.0817,+0.0040,0.0040
Claude-3-Opus,GS,QLq,-0.1118,-0.1091,-0.0028,0.0028
Claude-3-Opus,VL,MCu,0.1809,0.1793,+0.0016,0.0016
Claude-3-Opus,VL,QLq,0.1171,0.1161,+0.0011,0.0011
Claude-3-Sonnet,AS,MCu,0.4365,0.2526,+0.1839,0.1839
Claude-3-Sonnet,MCr,MCu,0.4855,0.3224,+0.1631,0.1631
Claude-3-Sonnet,VO,CL,0.1225,0.2699,-0.1474,0.1474
Claude-3-Sonnet,QLl,QLq,0.3514,0.4765,-0.1250,0.1250
Claude-3-Sonnet,VL,MCu,0.2622,0.1428,+0.1194,0.1194
Claude-3-Sonnet,MA,GS,0.0576,-0.0518,+0.1094,0.1094
Claude-3-Sonnet,AS,CL,0.2232,0.1261,+0.0971,0.0971
Claude-3-Sonnet,GS,QLq,-0.1684,-0.0734,-0.0950,0.0950
Claude-3-Sonnet,AT,GS,0.1502,0.2436,-0.0934,0.0934
Claude-3-Sonnet,VO,QLl,0.3010,0.3937,-0.0927,0.0927
Claude-3-Sonnet,AT,CL,0.1931,0.2836,-0.0905,0.0905
Claude-3-Sonnet,VO,GS,-0.0260,0.0593,-0.0853,0.0853
Claude-3-Sonnet,QLq,CL,0.0559,0.1373,-0.0814,0.0814
Claude-3-Sonnet,KNf,QLq,0.2460,0.3219,-0.0760,0.0760
Claude-3-Sonnet,AS,MCr,0.4946,0.4194,+0.0752,0.0752
Claude-3-Sonnet,VL,CL,0.0844,0.1572,-0.0727,0.0727
Claude-3-Sonnet,VL,AT,0.1820,0.1125,+0.0695,0.0695
Claude-3-Sonnet,VL,QLq,0.0673,0.1356,-0.0683,0.0683
Claude-3-Sonnet,VL,MA,0.3191,0.3841,-0.0650,0.0650
Claude-3-Sonnet,MCu,VO,0.2817,0.2207,+0.0610,0.0610
Claude-3-Sonnet,MCu,QLl,0.2954,0.2356,+0.0597,0.0597
Claude-3-Sonnet,VO,QLq,0.3684,0.3097,+0.0587,0.0587
Claude-3-Sonnet,GS,KNf,0.0818,0.0251,+0.0567,0.0567
Claude-3-Sonnet,MCr,KNf,0.1273,0.0717,+0.0556,0.0556
Claude-3-Sonnet,QLl,CL,0.2338,0.2860,-0.0521,0.0521
Claude-3-Sonnet,VO,AT,0.2987,0.2488,+0.0499,0.0499
Claude-3-Sonnet,MCr,AT,0.4043,0.3553,+0.0489,0.0489
Claude-3-Sonnet,KNf,CL,0.1641,0.1156,+0.0485,0.0485
Claude-3-Sonnet,MA,QLq,0.2220,0.2700,-0.0479,0.0479
Claude-3-Sonnet,MCr,QLl,0.3546,0.4017,-0.0472,0.0472
Claude-3-Sonnet,AT,QLl,0.2194,0.2648,-0.0454,0.0454
Claude-3-Sonnet,MA,KNf,0.1278,0.0825,+0.0452,0.0452
Claude-3-Sonnet,MCu,MA,0.2329,0.1892,+0.0437,0.0437
