model,reasoning_acc,dim,dim_name,emergent,auc_ability,normalized_ability
LLaVA-1-6-Yi-34B,0.2130,KNf,Formal Sciences,no,1.0105,2.4373
LLaVA-1-6-Yi-34B,0.2130,QLq,Quantitative Reasoning,no,0.7440,1.8744
LLaVA-1-6-Yi-34B,0.2130,CL,"Conceptualisation, Learning, and Abstraction",no,0.4727,1.7284
MoAI,0.1913,VL,Visual Localization and Grounding,yes,0.9449,2.0685
MoAI,0.1913,AS,Attention and Scan,no,1.0915,1.9934
MoAI,0.1913,MCr,Identifying Relevant Information,no,0.7670,1.9076
MoAI,0.1913,MCu,Calibrating Knowns and Unknowns,no,0.8406,2.3786
MoAI,0.1913,MA,Multi-Element Visual Aggregation,yes,0.9503,2.3961
MoAI,0.1913,VO,Volume,no,0.6666,1.9005
MoAI,0.1913,AT,Atypicality,no,1.0369,2.0494
MoAI,0.1913,GS,Gestalt and Shape Judgment,yes,1.0812,2.3935
MoAI,0.1913,QLl,Logical Reasoning,no,0.8542,2.3687
MoAI,0.1913,KNf,Formal Sciences,no,0.9400,2.4793
MoAI,0.1913,QLq,Quantitative Reasoning,no,0.9996,2.4458
MoAI,0.1913,CL,"Conceptualisation, Learning, and Abstraction",no,0.4702,1.8375
IDEFICS-2,0.1900,VL,Visual Localization and Grounding,yes,0.9602,1.9056
IDEFICS-2,0.1900,AS,Attention and Scan,no,1.0676,2.0249
IDEFICS-2,0.1900,MCr,Identifying Relevant Information,no,0.8301,2.1949
IDEFICS-2,0.1900,MCu,Calibrating Knowns and Unknowns,no,0.8504,2.3966
IDEFICS-2,0.1900,MA,Multi-Element Visual Aggregation,yes,0.9450,2.4139
IDEFICS-2,0.1900,VO,Volume,no,0.8546,2.3605
IDEFICS-2,0.1900,AT,Atypicality,no,0.9984,2.1522
IDEFICS-2,0.1900,GS,Gestalt and Shape Judgment,yes,0.9800,2.4713
IDEFICS-2,0.1900,QLl,Logical Reasoning,no,0.8483,2.3683
IDEFICS-2,0.1900,KNf,Formal Sciences,no,1.1062,2.3395
IDEFICS-2,0.1900,QLq,Quantitative Reasoning,no,0.8436,2.3301
IDEFICS-2,0.1900,CL,"Conceptualisation, Learning, and Abstraction",no,0.9526,2.4978
InternLM-XComposer2,0.1865,VL,Visual Localization and Grounding,yes,0.9158,2.2706
InternLM-XComposer2,0.1865,AS,Attention and Scan,no,1.1633,1.8465
InternLM-XComposer2,0.1865,MCr,Identifying Relevant Information,no,0.7621,1.9756
InternLM-XComposer2,0.1865,MCu,Calibrating Knowns and Unknowns,no,0.6847,2.1766
InternLM-XComposer2,0.1865,MA,Multi-Element Visual Aggregation,yes,0.9220,2.2968
InternLM-XComposer2,0.1865,VO,Volume,no,0.6641,1.9445
InternLM-XComposer2,0.1865,AT,Atypicality,no,1.0821,1.8917
InternLM-XComposer2,0.1865,GS,Gestalt and Shape Judgment,yes,0.9645,2.4686
InternLM-XComposer2,0.1865,QLl,Logical Reasoning,no,0.9881,2.4405
InternLM-XComposer2,0.1865,KNf,Formal Sciences,no,0.8203,2.3311
InternLM-XComposer2,0.1865,QLq,Quantitative Reasoning,no,0.9084,2.4654
InternLM-XComposer2,0.1865,CL,"Conceptualisation, Learning, and Abstraction",no,0.6596,2.2129
Mini-Gemini-HD-LLaMA3-8B,0.1865,VL,Visual Localization and Grounding,yes,1.0051,1.6876
Mini-Gemini-HD-LLaMA3-8B,0.1865,AS,Attention and Scan,no,1.1767,1.8329
Mini-Gemini-HD-LLaMA3-8B,0.1865,MCr,Identifying Relevant Information,no,0.7482,1.9056
Mini-Gemini-HD-LLaMA3-8B,0.1865,MCu,Calibrating Knowns and Unknowns,no,0.3943,1.3974
Mini-Gemini-HD-LLaMA3-8B,0.1865,MA,Multi-Element Visual Aggregation,yes,0.9140,2.1156
Mini-Gemini-HD-LLaMA3-8B,0.1865,VO,Volume,no,0.5319,1.2509
Mini-Gemini-HD-LLaMA3-8B,0.1865,AT,Atypicality,no,1.0116,2.0444
Mini-Gemini-HD-LLaMA3-8B,0.1865,GS,Gestalt and Shape Judgment,yes,0.9752,2.4586
Mini-Gemini-HD-LLaMA3-8B,0.1865,QLl,Logical Reasoning,no,0.6444,1.9887
Mini-Gemini-HD-LLaMA3-8B,0.1865,KNf,Formal Sciences,no,0.9570,2.4694
Mini-Gemini-HD-LLaMA3-8B,0.1865,QLq,Quantitative Reasoning,no,0.6691,1.9196
Mini-Gemini-HD-LLaMA3-8B,0.1865,CL,"Conceptualisation, Learning, and Abstraction",no,0.4870,1.9028
MiniCPM-V2,0.1815,VL,Visual Localization and Grounding,yes,0.8935,2.1192
MiniCPM-V2,0.1815,AS,Attention and Scan,no,0.9811,2.1173
MiniCPM-V2,0.1815,MCr,Identifying Relevant Information,no,0.7370,1.9482
MiniCPM-V2,0.1815,MCu,Calibrating Knowns and Unknowns,no,0.6519,2.1481
MiniCPM-V2,0.1815,MA,Multi-Element Visual Aggregation,yes,0.9001,2.3599
MiniCPM-V2,0.1815,VO,Volume,no,0.5667,1.6056
MiniCPM-V2,0.1815,AT,Atypicality,no,0.9594,2.1258
MiniCPM-V2,0.1815,GS,Gestalt and Shape Judgment,yes,1.0222,2.3938
MiniCPM-V2,0.1815,QLl,Logical Reasoning,no,0.8065,2.3610
MiniCPM-V2,0.1815,KNf,Formal Sciences,no,0.9753,2.4168
MiniCPM-V2,0.1815,QLq,Quantitative Reasoning,no,0.7431,2.1888
MiniCPM-V2,0.1815,CL,"Conceptualisation, Learning, and Abstraction",no,1.0171,2.4253
DeepSeek-VL,0.1752,VL,Visual Localization and Grounding,yes,0.8662,2.0622
DeepSeek-VL,0.1752,AS,Attention and Scan,no,0.9916,1.9969
DeepSeek-VL,0.1752,MCr,Identifying Relevant Information,no,0.7011,1.8810
DeepSeek-VL,0.1752,MCu,Calibrating Knowns and Unknowns,no,0.6913,2.2577
DeepSeek-VL,0.1752,MA,Multi-Element Visual Aggregation,yes,0.8635,2.2389
DeepSeek-VL,0.1752,VO,Volume,no,0.6016,1.8538
DeepSeek-VL,0.1752,AT,Atypicality,no,0.9129,2.1804
DeepSeek-VL,0.1752,GS,Gestalt and Shape Judgment,yes,0.9536,2.4217
DeepSeek-VL,0.1752,QLl,Logical Reasoning,no,0.7368,2.2860
DeepSeek-VL,0.1752,KNf,Formal Sciences,no,1.0444,2.3110
DeepSeek-VL,0.1752,QLq,Quantitative Reasoning,no,0.7555,2.2778
DeepSeek-VL,0.1752,CL,"Conceptualisation, Learning, and Abstraction",no,1.3114,2.2896
IDEFICS-2-Chatty,0.1744,VL,Visual Localization and Grounding,yes,0.8610,2.0853
IDEFICS-2-Chatty,0.1744,AS,Attention and Scan,no,0.9140,2.2193
IDEFICS-2-Chatty,0.1744,MCr,Identifying Relevant Information,no,0.8154,2.3591
IDEFICS-2-Chatty,0.1744,MCu,Calibrating Knowns and Unknowns,no,0.8910,2.4809
IDEFICS-2-Chatty,0.1744,MA,Multi-Element Visual Aggregation,yes,0.8633,2.3150
IDEFICS-2-Chatty,0.1744,VO,Volume,no,0.6010,1.8612
IDEFICS-2-Chatty,0.1744,AT,Atypicality,no,0.8908,2.2825
IDEFICS-2-Chatty,0.1744,GS,Gestalt and Shape Judgment,yes,1.0006,2.3767
IDEFICS-2-Chatty,0.1744,QLl,Logical Reasoning,no,1.0048,2.3603
IDEFICS-2-Chatty,0.1744,KNf,Formal Sciences,no,0.9303,2.4239
IDEFICS-2-Chatty,0.1744,QLq,Quantitative Reasoning,no,0.9268,2.4237
IDEFICS-2-Chatty,0.1744,CL,"Conceptualisation, Learning, and Abstraction",no,0.8346,2.4682
SPHINX-V2-13B,0.1613,VL,Visual Localization and Grounding,yes,0.8010,2.0179
SPHINX-V2-13B,0.1613,AS,Attention and Scan,no,0.9946,1.8295
SPHINX-V2-13B,0.1613,MCr,Identifying Relevant Information,no,0.6327,1.7638
SPHINX-V2-13B,0.1613,MCu,Calibrating Knowns and Unknowns,no,0.5385,2.0488
SPHINX-V2-13B,0.1613,MA,Multi-Element Visual Aggregation,yes,0.7942,2.2112
SPHINX-V2-13B,0.1613,VO,Volume,no,0.4612,1.1906
SPHINX-V2-13B,0.1613,AT,Atypicality,no,0.8835,2.0008
SPHINX-V2-13B,0.1613,GS,Gestalt and Shape Judgment,yes,0.8875,2.4090
SPHINX-V2-13B,0.1613,QLl,Logical Reasoning,no,0.5582,1.9797
SPHINX-V2-13B,0.1613,KNf,Formal Sciences,no,1.0589,2.2190
SPHINX-V2-13B,0.1613,QLq,Quantitative Reasoning,no,0.6186,2.0506
SPHINX-V2-13B,0.1613,CL,"Conceptualisation, Learning, and Abstraction",no,0.5410,2.1548
Qwen-VL-Plus,0.1577,VL,Visual Localization and Grounding,yes,0.7820,2.0314
Qwen-VL-Plus,0.1577,AS,Attention and Scan,no,0.8666,2.0564
Qwen-VL-Plus,0.1577,MCr,Identifying Relevant Information,no,0.7365,2.3525
Qwen-VL-Plus,0.1577,MCu,Calibrating Knowns and Unknowns,no,0.6537,2.3092
Qwen-VL-Plus,0.1577,MA,Multi-Element Visual Aggregation,yes,0.7740,2.1280
Qwen-VL-Plus,0.1577,VO,Volume,no,0.5938,2.0438
Qwen-VL-Plus,0.1577,AT,Atypicality,no,0.8158,2.2092
Qwen-VL-Plus,0.1577,GS,Gestalt and Shape Judgment,yes,1.0400,2.2625
Qwen-VL-Plus,0.1577,QLl,Logical Reasoning,no,0.7507,2.4426
Qwen-VL-Plus,0.1577,KNf,Formal Sciences,no,0.8493,2.4102
Qwen-VL-Plus,0.1577,QLq,Quantitative Reasoning,no,0.7582,2.4449
Qwen-VL-Plus,0.1577,CL,"Conceptualisation, Learning, and Abstraction",no,1.3729,2.2321
LLaVA-1-6-Mistral-7B,0.1353,VL,Visual Localization and Grounding,yes,0.6728,2.0103
LLaVA-1-6-Mistral-7B,0.1353,AS,Attention and Scan,no,0.7951,1.8870
LLaVA-1-6-Mistral-7B,0.1353,MCr,Identifying Relevant Information,no,0.5536,1.9317
LLaVA-1-6-Mistral-7B,0.1353,MCu,Calibrating Knowns and Unknowns,no,0.5466,2.2742
LLaVA-1-6-Mistral-7B,0.1353,MA,Multi-Element Visual Aggregation,yes,0.6690,2.2663
LLaVA-1-6-Mistral-7B,0.1353,VO,Volume,no,0.4430,1.6986
LLaVA-1-6-Mistral-7B,0.1353,AT,Atypicality,no,0.6923,2.2665
LLaVA-1-6-Mistral-7B,0.1353,GS,Gestalt and Shape Judgment,yes,0.7589,2.3865
LLaVA-1-6-Mistral-7B,0.1353,QLl,Logical Reasoning,no,0.6196,2.3906
LLaVA-1-6-Mistral-7B,0.1353,KNf,Formal Sciences,no,0.7527,2.3686
LLaVA-1-6-Mistral-7B,0.1353,QLq,Quantitative Reasoning,no,0.7342,2.3913
LLaVA-1-6-Mistral-7B,0.1353,CL,"Conceptualisation, Learning, and Abstraction",no,0.9588,2.2794
ChartGemma,0.1300,VL,Visual Localization and Grounding,yes,0.6540,1.9220
ChartGemma,0.1300,AS,Attention and Scan,no,0.7370,1.9597
ChartGemma,0.1300,MCr,Identifying Relevant Information,no,0.5684,2.1654
ChartGemma,0.1300,MCu,Calibrating Knowns and Unknowns,no,0.4950,2.2030
ChartGemma,0.1300,MA,Multi-Element Visual Aggregation,yes,0.6418,2.2475
ChartGemma,0.1300,VO,Volume,no,0.4364,1.7632
ChartGemma,0.1300,AT,Atypicality,no,0.6853,2.1140
ChartGemma,0.1300,GS,Gestalt and Shape Judgment,yes,0.7021,2.4220
ChartGemma,0.1300,QLl,Logical Reasoning,no,0.5203,2.2003
ChartGemma,0.1300,KNf,Formal Sciences,no,0.6655,2.4700
ChartGemma,0.1300,QLq,Quantitative Reasoning,no,0.6352,2.4665
ChartGemma,0.1300,CL,"Conceptualisation, Learning, and Abstraction",no,0.2834,1.6866
GPT-4o-Random,0.1013,VL,Visual Localization and Grounding,yes,0.5063,1.9558
GPT-4o-Random,0.1013,AS,Attention and Scan,no,0.5298,2.2004
GPT-4o-Random,0.1013,MCr,Identifying Relevant Information,no,0.4139,1.9012
GPT-4o-Random,0.1013,MCu,Calibrating Knowns and Unknowns,no,0.4989,2.4848
GPT-4o-Random,0.1013,MA,Multi-Element Visual Aggregation,yes,0.5036,2.4008
GPT-4o-Random,0.1013,VO,Volume,no,0.3358,1.7091
GPT-4o-Random,0.1013,AT,Atypicality,no,0.5057,2.4010
GPT-4o-Random,0.1013,GS,Gestalt and Shape Judgment,yes,0.7508,2.1279
GPT-4o-Random,0.1013,QLl,Logical Reasoning,no,0.4766,2.4235
GPT-4o-Random,0.1013,KNf,Formal Sciences,no,0.5862,2.3116
GPT-4o-Random,0.1013,QLq,Quantitative Reasoning,no,0.4493,2.3056
GPT-4o-Random,0.1013,CL,"Conceptualisation, Learning, and Abstraction",no,0.6570,2.3112
MEAN_ACROSS_MODELS,,VL,Visual Localization and Grounding,yes,1.3953,
MEAN_ACROSS_MODELS,,AS,Attention and Scan,no,1.5598,
MEAN_ACROSS_MODELS,,MCr,Identifying Relevant Information,no,1.1771,
MEAN_ACROSS_MODELS,,MCu,Calibrating Knowns and Unknowns,no,0.9452,
MEAN_ACROSS_MODELS,,MA,Multi-Element Visual Aggregation,yes,1.4089,
MEAN_ACROSS_MODELS,,VO,Volume,no,0.9817,
MEAN_ACROSS_MODELS,,AT,Atypicality,no,1.4855,
MEAN_ACROSS_MODELS,,GS,Gestalt and Shape Judgment,yes,1.5656,
MEAN_ACROSS_MODELS,,QLl,Logical Reasoning,no,1.2424,
MEAN_ACROSS_MODELS,,KNf,Formal Sciences,no,1.4607,
MEAN_ACROSS_MODELS,,QLq,Quantitative Reasoning,no,1.3886,
MEAN_ACROSS_MODELS,,CL,"Conceptualisation, Learning, and Abstraction",no,1.3050,
