dim_code,dim_name,model,reasoning_accuracy,mean_correct,sem_correct,n_correct,mean_incorrect,sem_incorrect,n_incorrect
VL,Visual Localization and Grounding,Reka-Edge,0.2362,2.201,0.046,189,2.306,0.026,611
VL,Visual Localization and Grounding,Gemini-1.0-Pro-Vision,0.2315,2.227,0.044,185,2.298,0.026,614
VL,Visual Localization and Grounding,LLaVA-1-6-Yi-34B,0.2130,2.141,0.050,170,2.320,0.025,628
VL,Visual Localization and Grounding,MoAI,0.1913,2.163,0.060,153,2.309,0.024,647
VL,Visual Localization and Grounding,IDEFICS-2,0.1900,2.112,0.054,152,2.321,0.025,648
VL,Visual Localization and Grounding,InternLM-XComposer2,0.1865,2.221,0.055,149,2.295,0.025,650
VL,Visual Localization and Grounding,Mini-Gemini-HD-LLaMA3-8B,0.1865,2.027,0.051,149,2.340,0.025,650
VL,Visual Localization and Grounding,MiniCPM-V2,0.1815,2.179,0.052,145,2.303,0.025,654
VL,Visual Localization and Grounding,DeepSeek-VL,0.1752,2.164,0.060,140,2.305,0.024,659
VL,Visual Localization and Grounding,IDEFICS-2-Chatty,0.1744,2.173,0.054,139,2.305,0.025,658
VL,Visual Localization and Grounding,SPHINX-V2-13B,0.1613,2.155,0.057,129,2.306,0.025,671
VL,Visual Localization and Grounding,Qwen-VL-Plus,0.1577,2.159,0.057,126,2.303,0.025,673
VL,Visual Localization and Grounding,LLaVA-1-6-Mistral-7B,0.1353,2.157,0.058,108,2.300,0.025,690
VL,Visual Localization and Grounding,ChartGemma,0.1300,2.135,0.060,104,2.303,0.024,696
VL,Visual Localization and Grounding,GPT-4o-Random,0.1013,2.148,0.077,81,2.296,0.024,719
AS,Attention and Scan,Human,0.8075,2.621,0.022,646,2.747,0.037,154
AS,Attention and Scan,Claude-3-5-Sonnet,0.6100,2.561,0.025,488,2.776,0.027,312
AS,Attention and Scan,GPT-4o,0.4863,2.527,0.029,389,2.757,0.024,411
AS,Attention and Scan,Gemini-1-5-Pro,0.4400,2.543,0.030,352,2.725,0.024,448
AS,Attention and Scan,InternVL2-Pro,0.4125,2.536,0.032,330,2.721,0.023,470
AS,Attention and Scan,InternVL2-76B,0.4025,2.528,0.032,322,2.724,0.023,478
AS,Attention and Scan,GPT-4V-Turbo,0.3738,2.552,0.032,299,2.701,0.023,501
AS,Attention and Scan,InternVL2-26B,0.3438,2.553,0.035,275,2.693,0.022,525
AS,Attention and Scan,GPT-4o-mini,0.3425,2.518,0.034,274,2.711,0.022,526
AS,Attention and Scan,Claude-3-Sonnet,0.3375,2.530,0.035,270,2.704,0.022,530
AS,Attention and Scan,Claude-3-Haiku,0.3225,2.537,0.037,257,2.696,0.022,540
AS,Attention and Scan,Claude-3-Opus,0.3141,2.550,0.037,251,2.688,0.022,548
AS,Attention and Scan,Phi-3-Vision,0.3137,2.594,0.035,251,2.668,0.023,549
AS,Attention and Scan,InternVL-Chat-V1-5,0.2966,2.616,0.037,237,2.657,0.022,562
AS,Attention and Scan,Reka-Core,0.2932,2.534,0.038,234,2.693,0.022,564
AS,Attention and Scan,Ovis1.5-Llama3-8B,0.2925,2.538,0.036,234,2.689,0.022,566
AS,Attention and Scan,Ovis1.5-Gemma2-9B,0.2762,2.525,0.038,221,2.691,0.022,579
AS,Attention and Scan,Cambrian-34B,0.2625,2.538,0.040,210,2.683,0.021,590
AS,Attention and Scan,Reka-Flash,0.2619,2.536,0.039,209,2.684,0.022,589
AS,Attention and Scan,Qwen-VL-Max,0.2562,2.502,0.040,205,2.694,0.021,595
AS,Attention and Scan,InternLM-XComposer2-4KHD,0.2537,2.488,0.042,203,2.698,0.021,597
AS,Attention and Scan,MiniCPM-V2-5,0.2537,2.468,0.040,203,2.705,0.021,597
AS,Attention and Scan,Mini-Gemini-HD-Yi-34B,0.2478,2.520,0.040,198,2.686,0.021,601
AS,Attention and Scan,VILA-1-5-40B,0.2387,2.545,0.042,191,2.677,0.021,609
AS,Attention and Scan,Reka-Edge,0.2362,2.556,0.042,189,2.673,0.021,611
AS,Attention and Scan,Gemini-1.0-Pro-Vision,0.2315,2.557,0.041,185,2.673,0.021,614
AS,Attention and Scan,LLaVA-1-6-Yi-34B,0.2130,2.482,0.048,170,2.691,0.020,628
AS,Attention and Scan,MoAI,0.1913,2.529,0.049,153,2.672,0.020,647
AS,Attention and Scan,IDEFICS-2,0.1900,2.539,0.048,152,2.670,0.021,648
AS,Attention and Scan,InternLM-XComposer2,0.1865,2.477,0.050,149,2.683,0.020,650
AS,Attention and Scan,Mini-Gemini-HD-LLaMA3-8B,0.1865,2.470,0.047,149,2.685,0.021,650
AS,Attention and Scan,MiniCPM-V2,0.1815,2.566,0.051,145,2.662,0.020,654
AS,Attention and Scan,DeepSeek-VL,0.1752,2.536,0.052,140,2.668,0.020,659
AS,Attention and Scan,IDEFICS-2-Chatty,0.1744,2.590,0.049,139,2.657,0.021,658
AS,Attention and Scan,SPHINX-V2-13B,0.1613,2.488,0.054,129,2.675,0.020,671
AS,Attention and Scan,Qwen-VL-Plus,0.1577,2.556,0.049,126,2.661,0.021,673
AS,Attention and Scan,LLaVA-1-6-Mistral-7B,0.1353,2.519,0.055,108,2.665,0.020,690
AS,Attention and Scan,ChartGemma,0.1300,2.538,0.063,104,2.661,0.020,696
AS,Attention and Scan,GPT-4o-Random,0.1013,2.593,0.065,81,2.651,0.020,719
MCr,Identifying Relevant Information,Human,0.8075,1.601,0.027,646,1.825,0.056,154
MCr,Identifying Relevant Information,Claude-3-5-Sonnet,0.6100,1.551,0.031,488,1.788,0.037,312
MCr,Identifying Relevant Information,GPT-4o,0.4863,1.506,0.034,389,1.774,0.033,411
MCr,Identifying Relevant Information,Gemini-1-5-Pro,0.4400,1.514,0.036,352,1.746,0.032,448
MCr,Identifying Relevant Information,InternVL2-Pro,0.4125,1.491,0.035,330,1.751,0.032,470
MCr,Identifying Relevant Information,InternVL2-76B,0.4025,1.522,0.037,322,1.726,0.031,478
MCr,Identifying Relevant Information,GPT-4V-Turbo,0.3738,1.488,0.036,299,1.737,0.031,501
MCr,Identifying Relevant Information,InternVL2-26B,0.3438,1.520,0.041,275,1.709,0.029,525
MCr,Identifying Relevant Information,GPT-4o-mini,0.3425,1.507,0.043,274,1.715,0.029,526
MCr,Identifying Relevant Information,Claude-3-Sonnet,0.3375,1.504,0.040,270,1.715,0.030,530
MCr,Identifying Relevant Information,Claude-3-Haiku,0.3225,1.518,0.043,257,1.707,0.029,540
MCr,Identifying Relevant Information,Claude-3-Opus,0.3141,1.538,0.044,251,1.693,0.029,548
MCr,Identifying Relevant Information,Phi-3-Vision,0.3137,1.518,0.044,251,1.701,0.029,549
MCr,Identifying Relevant Information,InternVL-Chat-V1-5,0.2966,1.570,0.046,237,1.674,0.028,562
MCr,Identifying Relevant Information,Reka-Core,0.2932,1.547,0.044,234,1.686,0.029,564
MCr,Identifying Relevant Information,Ovis1.5-Llama3-8B,0.2925,1.534,0.043,234,1.689,0.029,566
MCr,Identifying Relevant Information,Ovis1.5-Gemma2-9B,0.2762,1.538,0.046,221,1.684,0.028,579
MCr,Identifying Relevant Information,Cambrian-34B,0.2625,1.476,0.046,210,1.703,0.028,590
MCr,Identifying Relevant Information,Reka-Flash,0.2619,1.502,0.045,209,1.694,0.028,589
MCr,Identifying Relevant Information,Qwen-VL-Max,0.2562,1.463,0.045,205,1.706,0.028,595
MCr,Identifying Relevant Information,InternLM-XComposer2-4KHD,0.2537,1.517,0.049,203,1.687,0.028,597
MCr,Identifying Relevant Information,MiniCPM-V2-5,0.2537,1.488,0.050,203,1.697,0.027,597
MCr,Identifying Relevant Information,Mini-Gemini-HD-Yi-34B,0.2478,1.515,0.047,198,1.686,0.028,601
MCr,Identifying Relevant Information,VILA-1-5-40B,0.2387,1.508,0.048,191,1.686,0.028,609
MCr,Identifying Relevant Information,Reka-Edge,0.2362,1.603,0.050,189,1.656,0.028,611
MCr,Identifying Relevant Information,Gemini-1.0-Pro-Vision,0.2315,1.503,0.049,185,1.686,0.028,614
MCr,Identifying Relevant Information,LLaVA-1-6-Yi-34B,0.2130,1.500,0.052,170,1.685,0.027,628
MCr,Identifying Relevant Information,MoAI,0.1913,1.484,0.055,153,1.682,0.027,647
MCr,Identifying Relevant Information,IDEFICS-2,0.1900,1.559,0.054,152,1.664,0.027,648
MCr,Identifying Relevant Information,InternLM-XComposer2,0.1865,1.503,0.057,149,1.677,0.027,650
MCr,Identifying Relevant Information,Mini-Gemini-HD-LLaMA3-8B,0.1865,1.483,0.054,149,1.680,0.027,650
MCr,Identifying Relevant Information,MiniCPM-V2,0.1815,1.497,0.057,145,1.677,0.027,654
MCr,Identifying Relevant Information,DeepSeek-VL,0.1752,1.479,0.056,140,1.678,0.027,659
MCr,Identifying Relevant Information,IDEFICS-2-Chatty,0.1744,1.604,0.062,139,1.652,0.026,658
MCr,Identifying Relevant Information,SPHINX-V2-13B,0.1613,1.450,0.057,129,1.681,0.026,671
MCr,Identifying Relevant Information,Qwen-VL-Plus,0.1577,1.603,0.061,126,1.651,0.026,673
MCr,Identifying Relevant Information,LLaVA-1-6-Mistral-7B,0.1353,1.500,0.064,108,1.668,0.026,690
MCr,Identifying Relevant Information,ChartGemma,0.1300,1.558,0.069,104,1.657,0.026,696
MCr,Identifying Relevant Information,GPT-4o-Random,0.1013,1.494,0.068,81,1.661,0.026,719
MCu,Calibrating Knowns and Unknowns,Human,0.8075,0.655,0.026,646,0.734,0.050,154
MCu,Calibrating Knowns and Unknowns,Claude-3-5-Sonnet,0.6100,0.578,0.028,488,0.814,0.038,312
MCu,Calibrating Knowns and Unknowns,GPT-4o,0.4863,0.509,0.031,389,0.822,0.032,411
MCu,Calibrating Knowns and Unknowns,Gemini-1-5-Pro,0.4400,0.554,0.032,352,0.761,0.031,448
MCu,Calibrating Knowns and Unknowns,InternVL2-Pro,0.4125,0.518,0.032,330,0.777,0.030,470
MCu,Calibrating Knowns and Unknowns,InternVL2-76B,0.4025,0.522,0.034,322,0.770,0.030,478
MCu,Calibrating Knowns and Unknowns,GPT-4V-Turbo,0.3738,0.569,0.034,299,0.731,0.030,501
MCu,Calibrating Knowns and Unknowns,InternVL2-26B,0.3438,0.531,0.038,275,0.743,0.028,525
MCu,Calibrating Knowns and Unknowns,GPT-4o-mini,0.3425,0.591,0.037,274,0.711,0.028,526
MCu,Calibrating Knowns and Unknowns,Claude-3-Sonnet,0.3375,0.596,0.037,270,0.708,0.029,530
MCu,Calibrating Knowns and Unknowns,Claude-3-Haiku,0.3225,0.568,0.038,257,0.720,0.028,540
MCu,Calibrating Knowns and Unknowns,Claude-3-Opus,0.3141,0.590,0.038,251,0.708,0.028,548
MCu,Calibrating Knowns and Unknowns,Phi-3-Vision,0.3137,0.542,0.038,251,0.729,0.028,549
MCu,Calibrating Knowns and Unknowns,InternVL-Chat-V1-5,0.2966,0.527,0.040,237,0.731,0.027,562
MCu,Calibrating Knowns and Unknowns,Reka-Core,0.2932,0.603,0.040,234,0.697,0.028,564
MCu,Calibrating Knowns and Unknowns,Ovis1.5-Llama3-8B,0.2925,0.568,0.037,234,0.712,0.028,566
MCu,Calibrating Knowns and Unknowns,Ovis1.5-Gemma2-9B,0.2762,0.516,0.040,221,0.729,0.027,579
MCu,Calibrating Knowns and Unknowns,Cambrian-34B,0.2625,0.586,0.042,210,0.700,0.027,590
MCu,Calibrating Knowns and Unknowns,Reka-Flash,0.2619,0.560,0.042,209,0.710,0.027,589
MCu,Calibrating Knowns and Unknowns,Qwen-VL-Max,0.2562,0.488,0.040,205,0.733,0.027,595
MCu,Calibrating Knowns and Unknowns,InternLM-XComposer2-4KHD,0.2537,0.557,0.044,203,0.709,0.026,597
MCu,Calibrating Knowns and Unknowns,MiniCPM-V2-5,0.2537,0.537,0.045,203,0.715,0.026,597
MCu,Calibrating Knowns and Unknowns,Mini-Gemini-HD-Yi-34B,0.2478,0.540,0.045,198,0.710,0.026,601
MCu,Calibrating Knowns and Unknowns,VILA-1-5-40B,0.2387,0.634,0.046,191,0.681,0.026,609
MCu,Calibrating Knowns and Unknowns,Reka-Edge,0.2362,0.608,0.044,189,0.689,0.026,611
MCu,Calibrating Knowns and Unknowns,Gemini-1.0-Pro-Vision,0.2315,0.578,0.049,185,0.699,0.026,614
MCu,Calibrating Knowns and Unknowns,LLaVA-1-6-Yi-34B,0.2130,0.535,0.048,170,0.707,0.026,628
MCu,Calibrating Knowns and Unknowns,MoAI,0.1913,0.641,0.049,153,0.677,0.026,647
MCu,Calibrating Knowns and Unknowns,IDEFICS-2,0.1900,0.645,0.056,152,0.676,0.025,648
MCu,Calibrating Knowns and Unknowns,InternLM-XComposer2,0.1865,0.597,0.052,149,0.686,0.025,650
MCu,Calibrating Knowns and Unknowns,Mini-Gemini-HD-LLaMA3-8B,0.1865,0.443,0.046,149,0.720,0.025,650
MCu,Calibrating Knowns and Unknowns,MiniCPM-V2,0.1815,0.593,0.054,145,0.688,0.025,654
MCu,Calibrating Knowns and Unknowns,DeepSeek-VL,0.1752,0.614,0.057,140,0.681,0.025,659
MCu,Calibrating Knowns and Unknowns,IDEFICS-2-Chatty,0.1744,0.676,0.055,139,0.670,0.025,658
MCu,Calibrating Knowns and Unknowns,SPHINX-V2-13B,0.1613,0.574,0.054,129,0.689,0.025,671
MCu,Calibrating Knowns and Unknowns,Qwen-VL-Plus,0.1577,0.627,0.060,126,0.679,0.025,673
MCu,Calibrating Knowns and Unknowns,LLaVA-1-6-Mistral-7B,0.1353,0.620,0.061,108,0.678,0.025,690
MCu,Calibrating Knowns and Unknowns,ChartGemma,0.1300,0.606,0.063,104,0.680,0.024,696
MCu,Calibrating Knowns and Unknowns,GPT-4o-Random,0.1013,0.667,0.068,81,0.670,0.024,719
MA,Multi-Element Visual Aggregation,Human,0.8075,2.348,0.055,646,2.610,0.102,154
MA,Multi-Element Visual Aggregation,Claude-3-5-Sonnet,0.6100,2.248,0.062,488,2.635,0.077,312
MA,Multi-Element Visual Aggregation,GPT-4o,0.4863,2.252,0.068,389,2.538,0.069,411
MA,Multi-Element Visual Aggregation,Gemini-1-5-Pro,0.4400,2.244,0.072,352,2.520,0.066,448
MA,Multi-Element Visual Aggregation,InternVL2-Pro,0.4125,2.236,0.074,330,2.513,0.064,470
MA,Multi-Element Visual Aggregation,InternVL2-76B,0.4025,2.199,0.078,322,2.533,0.062,478
MA,Multi-Element Visual Aggregation,GPT-4V-Turbo,0.3738,2.254,0.080,299,2.485,0.061,501
MA,Multi-Element Visual Aggregation,InternVL2-26B,0.3438,2.200,0.084,275,2.503,0.059,525
MA,Multi-Element Visual Aggregation,GPT-4o-mini,0.3425,2.248,0.082,274,2.477,0.060,526
MA,Multi-Element Visual Aggregation,Claude-3-Sonnet,0.3375,2.259,0.080,270,2.470,0.061,530
MA,Multi-Element Visual Aggregation,Claude-3-Haiku,0.3225,2.284,0.083,257,2.444,0.060,540
MA,Multi-Element Visual Aggregation,Claude-3-Opus,0.3141,2.243,0.088,251,2.467,0.058,548
MA,Multi-Element Visual Aggregation,Phi-3-Vision,0.3137,2.243,0.085,251,2.470,0.059,549
MA,Multi-Element Visual Aggregation,InternVL-Chat-V1-5,0.2966,2.316,0.090,237,2.434,0.058,562
MA,Multi-Element Visual Aggregation,Reka-Core,0.2932,2.244,0.089,234,2.463,0.058,564
MA,Multi-Element Visual Aggregation,Ovis1.5-Llama3-8B,0.2925,2.145,0.089,234,2.504,0.058,566
MA,Multi-Element Visual Aggregation,Ovis1.5-Gemma2-9B,0.2762,2.113,0.091,221,2.508,0.057,579
MA,Multi-Element Visual Aggregation,Cambrian-34B,0.2625,2.124,0.092,210,2.497,0.057,590
MA,Multi-Element Visual Aggregation,Reka-Flash,0.2619,2.105,0.089,209,2.504,0.057,589
MA,Multi-Element Visual Aggregation,Qwen-VL-Max,0.2562,2.137,0.089,205,2.489,0.057,595
MA,Multi-Element Visual Aggregation,InternLM-XComposer2-4KHD,0.2537,2.148,0.095,203,2.484,0.056,597
MA,Multi-Element Visual Aggregation,MiniCPM-V2-5,0.2537,1.985,0.088,203,2.539,0.057,597
MA,Multi-Element Visual Aggregation,Mini-Gemini-HD-Yi-34B,0.2478,2.056,0.088,198,2.509,0.057,601
MA,Multi-Element Visual Aggregation,VILA-1-5-40B,0.2387,2.272,0.096,191,2.438,0.056,609
MA,Multi-Element Visual Aggregation,Reka-Edge,0.2362,2.249,0.101,189,2.445,0.055,611
MA,Multi-Element Visual Aggregation,Gemini-1.0-Pro-Vision,0.2315,2.357,0.095,185,2.415,0.056,614
MA,Multi-Element Visual Aggregation,LLaVA-1-6-Yi-34B,0.2130,2.153,0.103,170,2.468,0.055,628
MA,Multi-Element Visual Aggregation,MoAI,0.1913,2.275,0.120,153,2.428,0.053,647
MA,Multi-Element Visual Aggregation,IDEFICS-2,0.1900,2.296,0.110,152,2.423,0.054,648
MA,Multi-Element Visual Aggregation,InternLM-XComposer2,0.1865,2.161,0.115,149,2.457,0.053,650
MA,Multi-Element Visual Aggregation,Mini-Gemini-HD-LLaMA3-8B,0.1865,1.940,0.101,149,2.503,0.054,650
MA,Multi-Element Visual Aggregation,MiniCPM-V2,0.1815,2.234,0.105,145,2.436,0.055,654
MA,Multi-Element Visual Aggregation,DeepSeek-VL,0.1752,2.093,0.116,140,2.461,0.053,659
MA,Multi-Element Visual Aggregation,IDEFICS-2-Chatty,0.1744,2.187,0.115,139,2.447,0.054,658
MA,Multi-Element Visual Aggregation,SPHINX-V2-13B,0.1613,2.070,0.125,129,2.462,0.053,671
MA,Multi-Element Visual Aggregation,Qwen-VL-Plus,0.1577,1.976,0.120,126,2.478,0.053,673
MA,Multi-Element Visual Aggregation,LLaVA-1-6-Mistral-7B,0.1353,2.148,0.133,108,2.442,0.052,690
MA,Multi-Element Visual Aggregation,ChartGemma,0.1300,2.125,0.136,104,2.440,0.052,696
MA,Multi-Element Visual Aggregation,GPT-4o-Random,0.1013,2.296,0.158,81,2.410,0.051,719
VO,Volume,Human,0.8075,1.158,0.014,646,1.221,0.034,154
VO,Volume,Claude-3-5-Sonnet,0.6100,1.135,0.015,488,1.224,0.024,312
VO,Volume,GPT-4o,0.4863,1.111,0.016,389,1.226,0.021,411
VO,Volume,Gemini-1-5-Pro,0.4400,1.136,0.018,352,1.196,0.019,448
VO,Volume,InternVL2-Pro,0.4125,1.106,0.017,330,1.215,0.019,470
VO,Volume,InternVL2-76B,0.4025,1.109,0.017,322,1.211,0.019,478
VO,Volume,GPT-4V-Turbo,0.3738,1.130,0.020,299,1.194,0.018,501
VO,Volume,InternVL2-26B,0.3438,1.105,0.019,275,1.204,0.018,525
VO,Volume,GPT-4o-mini,0.3425,1.124,0.020,274,1.194,0.017,526
VO,Volume,Claude-3-Sonnet,0.3375,1.137,0.021,270,1.187,0.017,530
VO,Volume,Claude-3-Haiku,0.3225,1.117,0.020,257,1.196,0.017,540
VO,Volume,Claude-3-Opus,0.3141,1.135,0.022,251,1.184,0.017,548
VO,Volume,Phi-3-Vision,0.3137,1.139,0.022,251,1.184,0.017,549
VO,Volume,InternVL-Chat-V1-5,0.2966,1.122,0.021,237,1.190,0.017,562
VO,Volume,Reka-Core,0.2932,1.158,0.024,234,1.176,0.016,564
VO,Volume,Ovis1.5-Llama3-8B,0.2925,1.085,0.018,234,1.205,0.017,566
VO,Volume,Ovis1.5-Gemma2-9B,0.2762,1.118,0.022,221,1.190,0.016,579
VO,Volume,Cambrian-34B,0.2625,1.105,0.021,210,1.193,0.016,590
VO,Volume,Reka-Flash,0.2619,1.134,0.024,209,1.183,0.016,589
VO,Volume,Qwen-VL-Max,0.2562,1.083,0.019,205,1.200,0.016,595
VO,Volume,InternLM-XComposer2-4KHD,0.2537,1.103,0.021,203,1.193,0.016,597
VO,Volume,MiniCPM-V2-5,0.2537,1.089,0.020,203,1.198,0.016,597
VO,Volume,Mini-Gemini-HD-Yi-34B,0.2478,1.086,0.020,198,1.196,0.016,601
VO,Volume,VILA-1-5-40B,0.2387,1.115,0.023,191,1.187,0.016,609
VO,Volume,Reka-Edge,0.2362,1.153,0.026,189,1.175,0.015,611
VO,Volume,Gemini-1.0-Pro-Vision,0.2315,1.141,0.026,185,1.179,0.015,614
VO,Volume,LLaVA-1-6-Yi-34B,0.2130,1.100,0.023,170,1.189,0.016,628
VO,Volume,MoAI,0.1913,1.124,0.027,153,1.181,0.015,647
VO,Volume,IDEFICS-2,0.1900,1.158,0.030,152,1.173,0.015,648
VO,Volume,InternLM-XComposer2,0.1865,1.128,0.027,149,1.180,0.015,650
VO,Volume,Mini-Gemini-HD-LLaMA3-8B,0.1865,1.074,0.021,149,1.191,0.015,650
VO,Volume,MiniCPM-V2,0.1815,1.103,0.025,145,1.185,0.015,654
VO,Volume,DeepSeek-VL,0.1752,1.121,0.028,140,1.181,0.015,659
VO,Volume,IDEFICS-2-Chatty,0.1744,1.122,0.028,139,1.181,0.015,658
VO,Volume,SPHINX-V2-13B,0.1613,1.070,0.023,129,1.189,0.015,671
VO,Volume,Qwen-VL-Plus,0.1577,1.135,0.031,126,1.177,0.015,673
VO,Volume,LLaVA-1-6-Mistral-7B,0.1353,1.111,0.030,108,1.180,0.015,690
VO,Volume,ChartGemma,0.1300,1.115,0.031,104,1.178,0.015,696
VO,Volume,GPT-4o-Random,0.1013,1.111,0.035,81,1.177,0.014,719
AT,Atypicality,Human,0.8075,2.548,0.021,646,2.636,0.041,154
AT,Atypicality,Claude-3-5-Sonnet,0.6100,2.525,0.024,488,2.628,0.028,312
AT,Atypicality,GPT-4o,0.4863,2.481,0.027,389,2.645,0.025,411
AT,Atypicality,Gemini-1-5-Pro,0.4400,2.500,0.028,352,2.616,0.024,448
AT,Atypicality,InternVL2-Pro,0.4125,2.482,0.029,330,2.623,0.023,470
AT,Atypicality,InternVL2-76B,0.4025,2.484,0.030,322,2.619,0.023,478
AT,Atypicality,GPT-4V-Turbo,0.3738,2.508,0.030,299,2.599,0.023,501
AT,Atypicality,InternVL2-26B,0.3438,2.484,0.032,275,2.608,0.022,525
AT,Atypicality,GPT-4o-mini,0.3425,2.467,0.033,274,2.616,0.022,526
AT,Atypicality,Claude-3-Sonnet,0.3375,2.522,0.033,270,2.587,0.022,530
AT,Atypicality,Claude-3-Haiku,0.3225,2.518,0.033,257,2.587,0.022,540
AT,Atypicality,Claude-3-Opus,0.3141,2.502,0.035,251,2.595,0.022,548
AT,Atypicality,Phi-3-Vision,0.3137,2.494,0.034,251,2.597,0.022,549
AT,Atypicality,InternVL-Chat-V1-5,0.2966,2.489,0.036,237,2.598,0.021,562
AT,Atypicality,Reka-Core,0.2932,2.560,0.034,234,2.567,0.022,564
AT,Atypicality,Ovis1.5-Llama3-8B,0.2925,2.457,0.035,234,2.610,0.021,566
AT,Atypicality,Ovis1.5-Gemma2-9B,0.2762,2.475,0.037,221,2.599,0.021,579
AT,Atypicality,Cambrian-34B,0.2625,2.505,0.037,210,2.586,0.021,590
AT,Atypicality,Reka-Flash,0.2619,2.478,0.037,209,2.598,0.021,589
AT,Atypicality,Qwen-VL-Max,0.2562,2.463,0.037,205,2.600,0.021,595
AT,Atypicality,InternLM-XComposer2-4KHD,0.2537,2.478,0.038,203,2.595,0.021,597
AT,Atypicality,MiniCPM-V2-5,0.2537,2.433,0.039,203,2.610,0.021,597
AT,Atypicality,Mini-Gemini-HD-Yi-34B,0.2478,2.470,0.038,198,2.596,0.021,601
AT,Atypicality,VILA-1-5-40B,0.2387,2.513,0.038,191,2.581,0.021,609
AT,Atypicality,Reka-Edge,0.2362,2.561,0.039,189,2.566,0.021,611
AT,Atypicality,Gemini-1.0-Pro-Vision,0.2315,2.541,0.040,185,2.572,0.021,614
AT,Atypicality,LLaVA-1-6-Yi-34B,0.2130,2.447,0.042,170,2.597,0.020,628
AT,Atypicality,MoAI,0.1913,2.477,0.045,153,2.586,0.020,647
AT,Atypicality,IDEFICS-2,0.1900,2.500,0.045,152,2.580,0.020,648
AT,Atypicality,InternLM-XComposer2,0.1865,2.436,0.048,149,2.594,0.020,650
AT,Atypicality,Mini-Gemini-HD-LLaMA3-8B,0.1865,2.477,0.044,149,2.585,0.020,650
AT,Atypicality,MiniCPM-V2,0.1815,2.497,0.045,145,2.581,0.020,654
AT,Atypicality,DeepSeek-VL,0.1752,2.507,0.046,140,2.577,0.020,659
AT,Atypicality,IDEFICS-2-Chatty,0.1744,2.525,0.046,139,2.571,0.020,658
AT,Atypicality,SPHINX-V2-13B,0.1613,2.473,0.047,129,2.583,0.020,671
AT,Atypicality,Qwen-VL-Plus,0.1577,2.516,0.049,126,2.575,0.020,673
AT,Atypicality,LLaVA-1-6-Mistral-7B,0.1353,2.528,0.053,108,2.572,0.020,690
AT,Atypicality,ChartGemma,0.1300,2.500,0.056,104,2.575,0.019,696
AT,Atypicality,GPT-4o-Random,0.1013,2.580,0.061,81,2.563,0.019,719
GS,Gestalt and Shape Judgment,Human,0.8075,0.811,0.046,646,0.805,0.098,154
GS,Gestalt and Shape Judgment,Claude-3-5-Sonnet,0.6100,0.824,0.053,488,0.788,0.067,312
GS,Gestalt and Shape Judgment,GPT-4o,0.4863,0.859,0.060,389,0.764,0.057,411
