candidate_id,kind,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,seed,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap
xgb_n=50_depth=1_lr=0.05_sub=0.8_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.05,0.8,1.0,10.0,0.1,215,50.0,36,50 trees d=1,0.535211,0.520325,0.014886,0.207746,0.234146,0.0264
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.05,1.0,0.8,1.0,0.0,215,50.0,37,50 trees d=1,0.53169,0.512195,0.019495,0.21162,0.23252,0.0209
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.05,1.0,0.8,1.0,0.1,215,50.0,38,50 trees d=1,0.52993,0.504065,0.025865,0.210915,0.234146,0.023231
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.05,1.0,0.8,5.0,0.0,215,50.0,39,50 trees d=1,0.52993,0.504065,0.025865,0.211268,0.234146,0.022878
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.05,1.0,0.8,5.0,0.1,215,50.0,40,50 trees d=1,0.524648,0.504065,0.020583,0.215845,0.234146,0.018301
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.05,1.0,0.8,10.0,0.0,215,50.0,41,50 trees d=1,0.524648,0.504065,0.020583,0.216197,0.237398,0.021201
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.05,1.0,0.8,10.0,0.1,215,50.0,42,50 trees d=1,0.522887,0.495935,0.026952,0.217606,0.242276,0.02467
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.05,1.0,1.0,1.0,0.0,215,50.0,43,50 trees d=1,0.52993,0.512195,0.017735,0.212676,0.23252,0.019844
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.05,1.0,1.0,1.0,0.1,215,50.0,44,50 trees d=1,0.528169,0.504065,0.024104,0.211972,0.234146,0.022174
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.05,1.0,1.0,5.0,0.0,215,50.0,45,50 trees d=1,0.52993,0.504065,0.025865,0.211268,0.234146,0.022878
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.05,1.0,1.0,5.0,0.1,215,50.0,46,50 trees d=1,0.528169,0.495935,0.032234,0.214437,0.242276,0.027839
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.05,1.0,1.0,10.0,0.0,215,50.0,47,50 trees d=1,0.524648,0.504065,0.020583,0.216197,0.237398,0.021201
xgb_n=50_depth=1_lr=0.05_sub=1.0_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.05,1.0,1.0,10.0,0.1,215,50.0,48,50 trees d=1,0.521127,0.495935,0.025192,0.217606,0.242276,0.02467
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.1,0.8,0.8,1.0,0.0,215,50.0,49,50 trees d=1,0.558099,0.569106,-0.011007,0.18838,0.214634,0.026254
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.1,0.8,0.8,1.0,0.1,215,50.0,50,50 trees d=1,0.549296,0.560976,-0.01168,0.190141,0.222764,0.032623
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.1,0.8,0.8,5.0,0.0,215,50.0,51,50 trees d=1,0.56162,0.552846,0.008774,0.187676,0.21626,0.028584
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.1,0.8,0.8,5.0,0.1,215,50.0,52,50 trees d=1,0.566901,0.536585,0.030316,0.184155,0.230894,0.046739
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.1,0.8,0.8,10.0,0.0,215,50.0,53,50 trees d=1,0.565141,0.544715,0.020426,0.187324,0.22439,0.037066
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.1,0.8,0.8,10.0,0.1,215,50.0,54,50 trees d=1,0.568662,0.536585,0.032077,0.186972,0.226016,0.039044
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.1,0.8,1.0,1.0,0.0,215,50.0,55,50 trees d=1,0.56338,0.528455,0.034925,0.183803,0.230894,0.047091
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.1,0.8,1.0,1.0,0.1,215,50.0,56,50 trees d=1,0.56162,0.536585,0.025035,0.184859,0.230894,0.046035
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.1,0.8,1.0,5.0,0.0,215,50.0,57,50 trees d=1,0.551056,0.544715,0.006341,0.192254,0.229268,0.037014
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.1,0.8,1.0,5.0,0.1,215,50.0,58,50 trees d=1,0.56338,0.552846,0.010534,0.183099,0.227642,0.044543
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.1,0.8,1.0,10.0,0.0,215,50.0,59,50 trees d=1,0.558099,0.520325,0.037774,0.18662,0.235772,0.049152
xgb_n=50_depth=1_lr=0.1_sub=0.8_col=1.0_l2=10.0_l1=0.1,xgboost,50,1,0.1,0.8,1.0,10.0,0.1,215,50.0,60,50 trees d=1,0.552817,0.536585,0.016232,0.190493,0.227642,0.037149
xgb_n=50_depth=1_lr=0.1_sub=1.0_col=0.8_l2=1.0_l1=0.0,xgboost,50,1,0.1,1.0,0.8,1.0,0.0,215,50.0,61,50 trees d=1,0.559859,0.569106,-0.009247,0.190141,0.214634,0.024493
xgb_n=50_depth=1_lr=0.1_sub=1.0_col=0.8_l2=1.0_l1=0.1,xgboost,50,1,0.1,1.0,0.8,1.0,0.1,215,50.0,62,50 trees d=1,0.559859,0.552846,0.007013,0.18838,0.219512,0.031132
xgb_n=50_depth=1_lr=0.1_sub=1.0_col=0.8_l2=5.0_l1=0.0,xgboost,50,1,0.1,1.0,0.8,5.0,0.0,215,50.0,63,50 trees d=1,0.558099,0.552846,0.005253,0.190141,0.217886,0.027745
xgb_n=50_depth=1_lr=0.1_sub=1.0_col=0.8_l2=5.0_l1=0.1,xgboost,50,1,0.1,1.0,0.8,5.0,0.1,215,50.0,64,50 trees d=1,0.558099,0.552846,0.005253,0.190845,0.219512,0.028667
xgb_n=50_depth=1_lr=0.1_sub=1.0_col=0.8_l2=10.0_l1=0.0,xgboost,50,1,0.1,1.0,0.8,10.0,0.0,215,50.0,65,50 trees d=1,0.551056,0.552846,-0.00179,0.195423,0.217886,0.022463
xgb_n=50_depth=1_lr=0.1_sub=1.0_col=0.8_l2=10.0_l1=0.1,xgboost,50,1,0.1,1.0,0.8,10.0,0.1,215,50.0,66,50 trees d=1,0.556338,0.528455,0.027883,0.192958,0.23252,0.039562
xgb_n=50_depth=1_lr=0.1_sub=1.0_col=1.0_l2=1.0_l1=0.0,xgboost,50,1,0.1,1.0,1.0,1.0,0.0,215,50.0,67,50 trees d=1,0.56338,0.560976,0.002404,0.189085,0.221138,0.032053
xgb_n=50_depth=1_lr=0.1_sub=1.0_col=1.0_l2=1.0_l1=0.1,xgboost,50,1,0.1,1.0,1.0,1.0,0.1,215,50.0,68,50 trees d=1,0.559859,0.552846,0.007013,0.18838,0.219512,0.031132
xgb_n=50_depth=1_lr=0.1_sub=1.0_col=1.0_l2=5.0_l1=0.0,xgboost,50,1,0.1,1.0,1.0,5.0,0.0,215,50.0,69,50 trees d=1,0.556338,0.552846,0.003492,0.191197,0.219512,0.028315
xgb_n=50_depth=1_lr=0.1_sub=1.0_col=1.0_l2=5.0_l1=0.1,xgboost,50,1,0.1,1.0,1.0,5.0,0.1,215,50.0,70,50 trees d=1,0.559859,0.552846,0.007013,0.189789,0.219512,0.029723
xgb_n=50_depth=1_lr=0.1_sub=1.0_col=1.0_l2=10.0_l1=0.0,xgboost,50,1,0.1,1.0,1.0,10.0,0.0,215,50.0,71,50 trees d=1,0.56162,0.528455,0.033165,0.191197,0.230894,0.039697
