model,group,dim_i,dim_j,tau_b
POOLED_ALL_MODELS,correct,QLl,GS,0.0116
POOLED_ALL_MODELS,correct,QLl,QLl,1.0000
POOLED_ALL_MODELS,correct,QLl,KNf,0.1264
POOLED_ALL_MODELS,correct,QLl,QLq,0.4073
POOLED_ALL_MODELS,correct,QLl,CL,0.2136
POOLED_ALL_MODELS,correct,KNf,VL,-0.0541
POOLED_ALL_MODELS,correct,KNf,AS,-0.0118
POOLED_ALL_MODELS,correct,KNf,MCr,0.0960
POOLED_ALL_MODELS,correct,KNf,MCu,0.1885
POOLED_ALL_MODELS,correct,KNf,MA,0.0930
POOLED_ALL_MODELS,correct,KNf,VO,0.0827
POOLED_ALL_MODELS,correct,KNf,AT,0.0868
POOLED_ALL_MODELS,correct,KNf,GS,0.0350
POOLED_ALL_MODELS,correct,KNf,QLl,0.1264
POOLED_ALL_MODELS,correct,KNf,KNf,1.0000
POOLED_ALL_MODELS,correct,KNf,QLq,0.2773
POOLED_ALL_MODELS,correct,KNf,CL,0.1516
POOLED_ALL_MODELS,correct,QLq,VL,0.1167
POOLED_ALL_MODELS,correct,QLq,AS,0.1224
POOLED_ALL_MODELS,correct,QLq,MCr,0.2388
POOLED_ALL_MODELS,correct,QLq,MCu,0.2794
POOLED_ALL_MODELS,correct,QLq,MA,0.2918
POOLED_ALL_MODELS,correct,QLq,VO,0.3188
POOLED_ALL_MODELS,correct,QLq,AT,0.2654
POOLED_ALL_MODELS,correct,QLq,GS,-0.1313
POOLED_ALL_MODELS,correct,QLq,QLl,0.4073
POOLED_ALL_MODELS,correct,QLq,KNf,0.2773
POOLED_ALL_MODELS,correct,QLq,QLq,1.0000
POOLED_ALL_MODELS,correct,QLq,CL,0.0756
POOLED_ALL_MODELS,correct,CL,VL,0.1035
POOLED_ALL_MODELS,correct,CL,AS,0.1683
POOLED_ALL_MODELS,correct,CL,MCr,0.1958
POOLED_ALL_MODELS,correct,CL,MCu,0.2345
POOLED_ALL_MODELS,correct,CL,MA,0.0967
POOLED_ALL_MODELS,correct,CL,VO,0.1628
POOLED_ALL_MODELS,correct,CL,AT,0.2407
POOLED_ALL_MODELS,correct,CL,GS,0.3534
POOLED_ALL_MODELS,correct,CL,QLl,0.2136
POOLED_ALL_MODELS,correct,CL,KNf,0.1516
POOLED_ALL_MODELS,correct,CL,QLq,0.0756
POOLED_ALL_MODELS,correct,CL,CL,1.0000
POOLED_ALL_MODELS,incorrect,VL,VL,1.0000
POOLED_ALL_MODELS,incorrect,VL,AS,0.3939
POOLED_ALL_MODELS,incorrect,VL,MCr,0.3566
POOLED_ALL_MODELS,incorrect,VL,MCu,0.1667
POOLED_ALL_MODELS,incorrect,VL,MA,0.3577
POOLED_ALL_MODELS,incorrect,VL,VO,0.2974
POOLED_ALL_MODELS,incorrect,VL,AT,0.1121
POOLED_ALL_MODELS,incorrect,VL,GS,-0.0133
POOLED_ALL_MODELS,incorrect,VL,QLl,0.2715
POOLED_ALL_MODELS,incorrect,VL,KNf,-0.0645
POOLED_ALL_MODELS,incorrect,VL,QLq,0.1004
POOLED_ALL_MODELS,incorrect,VL,CL,0.1418
POOLED_ALL_MODELS,incorrect,AS,VL,0.3939
POOLED_ALL_MODELS,incorrect,AS,AS,1.0000
POOLED_ALL_MODELS,incorrect,AS,MCr,0.4392
POOLED_ALL_MODELS,incorrect,AS,MCu,0.2996
POOLED_ALL_MODELS,incorrect,AS,MA,0.3407
POOLED_ALL_MODELS,incorrect,AS,VO,0.3110
POOLED_ALL_MODELS,incorrect,AS,AT,0.2570
POOLED_ALL_MODELS,incorrect,AS,GS,0.1190
POOLED_ALL_MODELS,incorrect,AS,QLl,0.2305
POOLED_ALL_MODELS,incorrect,AS,KNf,0.0029
POOLED_ALL_MODELS,incorrect,AS,QLq,0.0947
POOLED_ALL_MODELS,incorrect,AS,CL,0.1545
POOLED_ALL_MODELS,incorrect,MCr,VL,0.3566
POOLED_ALL_MODELS,incorrect,MCr,AS,0.4392
POOLED_ALL_MODELS,incorrect,MCr,MCr,1.0000
POOLED_ALL_MODELS,incorrect,MCr,MCu,0.3597
POOLED_ALL_MODELS,incorrect,MCr,MA,0.2784
POOLED_ALL_MODELS,incorrect,MCr,VO,0.3639
POOLED_ALL_MODELS,incorrect,MCr,AT,0.3578
POOLED_ALL_MODELS,incorrect,MCr,GS,0.0929
POOLED_ALL_MODELS,incorrect,MCr,QLl,0.3990
POOLED_ALL_MODELS,incorrect,MCr,KNf,0.0792
POOLED_ALL_MODELS,incorrect,MCr,QLq,0.2081
POOLED_ALL_MODELS,incorrect,MCr,CL,0.2414
POOLED_ALL_MODELS,incorrect,MCu,VL,0.1667
POOLED_ALL_MODELS,incorrect,MCu,AS,0.2996
POOLED_ALL_MODELS,incorrect,MCu,MCr,0.3597
POOLED_ALL_MODELS,incorrect,MCu,MCu,1.0000
POOLED_ALL_MODELS,incorrect,MCu,MA,0.1864
POOLED_ALL_MODELS,incorrect,MCu,VO,0.2276
POOLED_ALL_MODELS,incorrect,MCu,AT,0.3714
POOLED_ALL_MODELS,incorrect,MCu,GS,0.1373
POOLED_ALL_MODELS,incorrect,MCu,QLl,0.2456
POOLED_ALL_MODELS,incorrect,MCu,KNf,0.1992
POOLED_ALL_MODELS,incorrect,MCu,QLq,0.2369
POOLED_ALL_MODELS,incorrect,MCu,CL,0.2051
POOLED_ALL_MODELS,incorrect,MA,VL,0.3577
POOLED_ALL_MODELS,incorrect,MA,AS,0.3407
POOLED_ALL_MODELS,incorrect,MA,MCr,0.2784
POOLED_ALL_MODELS,incorrect,MA,MCu,0.1864
POOLED_ALL_MODELS,incorrect,MA,MA,1.0000
POOLED_ALL_MODELS,incorrect,MA,VO,0.3233
POOLED_ALL_MODELS,incorrect,MA,AT,0.1116
POOLED_ALL_MODELS,incorrect,MA,GS,-0.0293
POOLED_ALL_MODELS,incorrect,MA,QLl,0.3252
POOLED_ALL_MODELS,incorrect,MA,KNf,0.0937
POOLED_ALL_MODELS,incorrect,MA,QLq,0.2329
POOLED_ALL_MODELS,incorrect,MA,CL,0.0755
POOLED_ALL_MODELS,incorrect,VO,VL,0.2974
POOLED_ALL_MODELS,incorrect,VO,AS,0.3110
POOLED_ALL_MODELS,incorrect,VO,MCr,0.3639
POOLED_ALL_MODELS,incorrect,VO,MCu,0.2276
POOLED_ALL_MODELS,incorrect,VO,MA,0.3233
POOLED_ALL_MODELS,incorrect,VO,VO,1.0000
POOLED_ALL_MODELS,incorrect,VO,AT,0.2622
POOLED_ALL_MODELS,incorrect,VO,GS,0.0344
POOLED_ALL_MODELS,incorrect,VO,QLl,0.3870
POOLED_ALL_MODELS,incorrect,VO,KNf,0.0973
POOLED_ALL_MODELS,incorrect,VO,QLq,0.3288
POOLED_ALL_MODELS,incorrect,VO,CL,0.2438
POOLED_ALL_MODELS,incorrect,AT,VL,0.1121
POOLED_ALL_MODELS,incorrect,AT,AS,0.2570
POOLED_ALL_MODELS,incorrect,AT,MCr,0.3578
POOLED_ALL_MODELS,incorrect,AT,MCu,0.3714
POOLED_ALL_MODELS,incorrect,AT,MA,0.1116
POOLED_ALL_MODELS,incorrect,AT,VO,0.2622
POOLED_ALL_MODELS,incorrect,AT,AT,1.0000
POOLED_ALL_MODELS,incorrect,AT,GS,0.2162
POOLED_ALL_MODELS,incorrect,AT,QLl,0.2424
POOLED_ALL_MODELS,incorrect,AT,KNf,0.1271
POOLED_ALL_MODELS,incorrect,AT,QLq,0.1901
POOLED_ALL_MODELS,incorrect,AT,CL,0.2571
POOLED_ALL_MODELS,incorrect,GS,VL,-0.0133
POOLED_ALL_MODELS,incorrect,GS,AS,0.1190
POOLED_ALL_MODELS,incorrect,GS,MCr,0.0929
POOLED_ALL_MODELS,incorrect,GS,MCu,0.1373
POOLED_ALL_MODELS,incorrect,GS,MA,-0.0293
POOLED_ALL_MODELS,incorrect,GS,VO,0.0344
POOLED_ALL_MODELS,incorrect,GS,AT,0.2162
POOLED_ALL_MODELS,incorrect,GS,GS,1.0000
POOLED_ALL_MODELS,incorrect,GS,QLl,0.0332
POOLED_ALL_MODELS,incorrect,GS,KNf,0.0530
POOLED_ALL_MODELS,incorrect,GS,QLq,-0.0921
POOLED_ALL_MODELS,incorrect,GS,CL,0.3709
POOLED_ALL_MODELS,incorrect,QLl,VL,0.2715
POOLED_ALL_MODELS,incorrect,QLl,AS,0.2305
POOLED_ALL_MODELS,incorrect,QLl,MCr,0.3990
POOLED_ALL_MODELS,incorrect,QLl,MCu,0.2456
POOLED_ALL_MODELS,incorrect,QLl,MA,0.3252
POOLED_ALL_MODELS,incorrect,QLl,VO,0.3870
POOLED_ALL_MODELS,incorrect,QLl,AT,0.2424
POOLED_ALL_MODELS,incorrect,QLl,GS,0.0332
POOLED_ALL_MODELS,incorrect,QLl,QLl,1.0000
POOLED_ALL_MODELS,incorrect,QLl,KNf,0.1389
POOLED_ALL_MODELS,incorrect,QLl,QLq,0.4404
POOLED_ALL_MODELS,incorrect,QLl,CL,0.2877
POOLED_ALL_MODELS,incorrect,KNf,VL,-0.0645
POOLED_ALL_MODELS,incorrect,KNf,AS,0.0029
POOLED_ALL_MODELS,incorrect,KNf,MCr,0.0792
POOLED_ALL_MODELS,incorrect,KNf,MCu,0.1992
POOLED_ALL_MODELS,incorrect,KNf,MA,0.0937
POOLED_ALL_MODELS,incorrect,KNf,VO,0.0973
POOLED_ALL_MODELS,incorrect,KNf,AT,0.1271
POOLED_ALL_MODELS,incorrect,KNf,GS,0.0530
POOLED_ALL_MODELS,incorrect,KNf,QLl,0.1389
POOLED_ALL_MODELS,incorrect,KNf,KNf,1.0000
POOLED_ALL_MODELS,incorrect,KNf,QLq,0.3047
POOLED_ALL_MODELS,incorrect,KNf,CL,0.1260
POOLED_ALL_MODELS,incorrect,QLq,VL,0.1004
POOLED_ALL_MODELS,incorrect,QLq,AS,0.0947
POOLED_ALL_MODELS,incorrect,QLq,MCr,0.2081
POOLED_ALL_MODELS,incorrect,QLq,MCu,0.2369
POOLED_ALL_MODELS,incorrect,QLq,MA,0.2329
POOLED_ALL_MODELS,incorrect,QLq,VO,0.3288
POOLED_ALL_MODELS,incorrect,QLq,AT,0.1901
POOLED_ALL_MODELS,incorrect,QLq,GS,-0.0921
POOLED_ALL_MODELS,incorrect,QLq,QLl,0.4404
POOLED_ALL_MODELS,incorrect,QLq,KNf,0.3047
POOLED_ALL_MODELS,incorrect,QLq,QLq,1.0000
POOLED_ALL_MODELS,incorrect,QLq,CL,0.1226
POOLED_ALL_MODELS,incorrect,CL,VL,0.1418
POOLED_ALL_MODELS,incorrect,CL,AS,0.1545
POOLED_ALL_MODELS,incorrect,CL,MCr,0.2414
POOLED_ALL_MODELS,incorrect,CL,MCu,0.2051
POOLED_ALL_MODELS,incorrect,CL,MA,0.0755
POOLED_ALL_MODELS,incorrect,CL,VO,0.2438
POOLED_ALL_MODELS,incorrect,CL,AT,0.2571
POOLED_ALL_MODELS,incorrect,CL,GS,0.3709
POOLED_ALL_MODELS,incorrect,CL,QLl,0.2877
POOLED_ALL_MODELS,incorrect,CL,KNf,0.1260
POOLED_ALL_MODELS,incorrect,CL,QLq,0.1226
POOLED_ALL_MODELS,incorrect,CL,CL,1.0000
Human,correct,VL,VL,1.0000
Human,correct,VL,AS,0.4007
Human,correct,VL,MCr,0.3306
Human,correct,VL,MCu,0.1610
Human,correct,VL,MA,0.3364
Human,correct,VL,VO,0.2687
Human,correct,VL,AT,0.1110
Human,correct,VL,GS,-0.0085
Human,correct,VL,QLl,0.2469
Human,correct,VL,KNf,-0.0731
Human,correct,VL,QLq,0.0996
Human,correct,VL,CL,0.1392
Human,correct,AS,VL,0.4007
Human,correct,AS,AS,1.0000
Human,correct,AS,MCr,0.4669
Human,correct,AS,MCu,0.3131
Human,correct,AS,MA,0.3389
Human,correct,AS,VO,0.3138
Human,correct,AS,AT,0.2795
Human,correct,AS,GS,0.1256
Human,correct,AS,QLl,0.2244
Human,correct,AS,KNf,-0.0197
Human,correct,AS,QLq,0.1051
Human,correct,AS,CL,0.1667
Human,correct,MCr,VL,0.3306
Human,correct,MCr,AS,0.4669
Human,correct,MCr,MCr,1.0000
Human,correct,MCr,MCu,0.3484
Human,correct,MCr,MA,0.2739
Human,correct,MCr,VO,0.3657
Human,correct,MCr,AT,0.3558
Human,correct,MCr,GS,0.0554
Human,correct,MCr,QLl,0.3590
Human,correct,MCr,KNf,0.0569
Human,correct,MCr,QLq,0.2043
Human,correct,MCr,CL,0.2261
Human,correct,MCu,VL,0.1610
Human,correct,MCu,AS,0.3131
Human,correct,MCu,MCr,0.3484
Human,correct,MCu,MCu,1.0000
Human,correct,MCu,MA,0.2016
Human,correct,MCu,VO,0.2418
Human,correct,MCu,AT,0.3344
Human,correct,MCu,GS,0.1138
Human,correct,MCu,QLl,0.2287
Human,correct,MCu,KNf,0.1947
Human,correct,MCu,QLq,0.2595
Human,correct,MCu,CL,0.1873
Human,correct,MA,VL,0.3364
Human,correct,MA,AS,0.3389
Human,correct,MA,MCr,0.2739
Human,correct,MA,MCu,0.2016
Human,correct,MA,MA,1.0000
Human,correct,MA,VO,0.2926
Human,correct,MA,AT,0.1302
Human,correct,MA,GS,-0.0189
Human,correct,MA,QLl,0.3056
Human,correct,MA,KNf,0.1048
Human,correct,MA,QLq,0.2484
Human,correct,MA,CL,0.0732
Human,correct,VO,VL,0.2687
Human,correct,VO,AS,0.3138
Human,correct,VO,MCr,0.3657
Human,correct,VO,MCu,0.2418
Human,correct,VO,MA,0.2926
Human,correct,VO,VO,1.0000
Human,correct,VO,AT,0.2359
Human,correct,VO,GS,-0.0144
Human,correct,VO,QLl,0.3673
Human,correct,VO,KNf,0.1154
Human,correct,VO,QLq,0.3331
Human,correct,VO,CL,0.1991
Human,correct,AT,VL,0.1110
Human,correct,AT,AS,0.2795
Human,correct,AT,MCr,0.3558
Human,correct,AT,MCu,0.3344
Human,correct,AT,MA,0.1302
Human,correct,AT,VO,0.2359
Human,correct,AT,AT,1.0000
Human,correct,AT,GS,0.1739
Human,correct,AT,QLl,0.2346
Human,correct,AT,KNf,0.0702
Human,correct,AT,QLq,0.2016
Human,correct,AT,CL,0.2432
Human,correct,GS,VL,-0.0085
Human,correct,GS,AS,0.1256
Human,correct,GS,MCr,0.0554
Human,correct,GS,MCu,0.1138
Human,correct,GS,MA,-0.0189
Human,correct,GS,VO,-0.0144
Human,correct,GS,AT,0.1739
Human,correct,GS,GS,1.0000
Human,correct,GS,QLl,-0.0030
Human,correct,GS,KNf,0.0136
Human,correct,GS,QLq,-0.1343
Human,correct,GS,CL,0.3520
Human,correct,QLl,VL,0.2469
Human,correct,QLl,AS,0.2244
Human,correct,QLl,MCr,0.3590
Human,correct,QLl,MCu,0.2287
Human,correct,QLl,MA,0.3056
Human,correct,QLl,VO,0.3673
Human,correct,QLl,AT,0.2346
Human,correct,QLl,GS,-0.0030
Human,correct,QLl,QLl,1.0000
Human,correct,QLl,KNf,0.1133
Human,correct,QLl,QLq,0.4258
Human,correct,QLl,CL,0.2479
Human,correct,KNf,VL,-0.0731
Human,correct,KNf,AS,-0.0197
Human,correct,KNf,MCr,0.0569
Human,correct,KNf,MCu,0.1947
Human,correct,KNf,MA,0.1048
Human,correct,KNf,VO,0.1154
Human,correct,KNf,AT,0.0702
Human,correct,KNf,GS,0.0136
Human,correct,KNf,QLl,0.1133
Human,correct,KNf,KNf,1.0000
Human,correct,KNf,QLq,0.2658
Human,correct,KNf,CL,0.1390
Human,correct,QLq,VL,0.0996
Human,correct,QLq,AS,0.1051
Human,correct,QLq,MCr,0.2043
Human,correct,QLq,MCu,0.2595
Human,correct,QLq,MA,0.2484
Human,correct,QLq,VO,0.3331
Human,correct,QLq,AT,0.2016
Human,correct,QLq,GS,-0.1343
Human,correct,QLq,QLl,0.4258
Human,correct,QLq,KNf,0.2658
Human,correct,QLq,QLq,1.0000
Human,correct,QLq,CL,0.0995
Human,correct,CL,VL,0.1392
Human,correct,CL,AS,0.1667
Human,correct,CL,MCr,0.2261
Human,correct,CL,MCu,0.1873
Human,correct,CL,MA,0.0732
Human,correct,CL,VO,0.1991
Human,correct,CL,AT,0.2432
Human,correct,CL,GS,0.3520
Human,correct,CL,QLl,0.2479
Human,correct,CL,KNf,0.1390
Human,correct,CL,QLq,0.0995
Human,correct,CL,CL,1.0000
Human,incorrect,VL,VL,1.0000
Human,incorrect,VL,AS,0.3820
Human,incorrect,VL,MCr,0.4376
Human,incorrect,VL,MCu,0.2908
Human,incorrect,VL,MA,0.4922
Human,incorrect,VL,VO,0.3749
Human,incorrect,VL,AT,0.2440
Human,incorrect,VL,GS,-0.0929
Human,incorrect,VL,QLl,0.2958
Human,incorrect,VL,KNf,-0.0033
Human,incorrect,VL,QLq,0.1272
Human,incorrect,VL,CL,0.1099
Human,incorrect,AS,VL,0.3820
Human,incorrect,AS,AS,1.0000
Human,incorrect,AS,MCr,0.3762
Human,incorrect,AS,MCu,0.3504
Human,incorrect,AS,MA,0.3896
Human,incorrect,AS,VO,0.2550
Human,incorrect,AS,AT,0.3246
Human,incorrect,AS,GS,0.1015
Human,incorrect,AS,QLl,0.2292
Human,incorrect,AS,KNf,0.0803
Human,incorrect,AS,QLq,0.0880
Human,incorrect,AS,CL,0.1271
Human,incorrect,MCr,VL,0.4376
Human,incorrect,MCr,AS,0.3762
Human,incorrect,MCr,MCr,1.0000
Human,incorrect,MCr,MCu,0.4959
Human,incorrect,MCr,MA,0.3236
Human,incorrect,MCr,VO,0.3121
Human,incorrect,MCr,AT,0.4274
Human,incorrect,MCr,GS,0.1539
Human,incorrect,MCr,QLl,0.4901
Human,incorrect,MCr,KNf,0.1899
Human,incorrect,MCr,QLq,0.2708
Human,incorrect,MCr,CL,0.2558
Human,incorrect,MCu,VL,0.2908
Human,incorrect,MCu,AS,0.3504
Human,incorrect,MCu,MCr,0.4959
Human,incorrect,MCu,MCu,1.0000
Human,incorrect,MCu,MA,0.2038
Human,incorrect,MCu,VO,0.2285
Human,incorrect,MCu,AT,0.5479
Human,incorrect,MCu,GS,0.2260
Human,incorrect,MCu,QLl,0.3637
Human,incorrect,MCu,KNf,0.1999
Human,incorrect,MCu,QLq,0.1969
Human,incorrect,MCu,CL,0.3350
Human,incorrect,MA,VL,0.4922
Human,incorrect,MA,AS,0.3896
Human,incorrect,MA,MCr,0.3236
Human,incorrect,MA,MCu,0.2038
Human,incorrect,MA,MA,1.0000
Human,incorrect,MA,VO,0.4005
Human,incorrect,MA,AT,0.1616
Human,incorrect,MA,GS,-0.0123
Human,incorrect,MA,QLl,0.3612
Human,incorrect,MA,KNf,0.0485
Human,incorrect,MA,QLq,0.2509
Human,incorrect,MA,CL,0.1257
Human,incorrect,VO,VL,0.3749
Human,incorrect,VO,AS,0.2550
Human,incorrect,VO,MCr,0.3121
Human,incorrect,VO,MCu,0.2285
Human,incorrect,VO,MA,0.4005
Human,incorrect,VO,VO,1.0000
Human,incorrect,VO,AT,0.3698
Human,incorrect,VO,GS,0.1840
Human,incorrect,VO,QLl,0.3524
Human,incorrect,VO,KNf,0.0196
Human,incorrect,VO,QLq,0.2978
Human,incorrect,VO,CL,0.3225
Human,incorrect,AT,VL,0.2440
Human,incorrect,AT,AS,0.3246
Human,incorrect,AT,MCr,0.4274
Human,incorrect,AT,MCu,0.5479
Human,incorrect,AT,MA,0.1616
Human,incorrect,AT,VO,0.3698
Human,incorrect,AT,AT,1.0000
Human,incorrect,AT,GS,0.3374
Human,incorrect,AT,QLl,0.3073
Human,incorrect,AT,KNf,0.2973
Human,incorrect,AT,QLq,0.2570
Human,incorrect,AT,CL,0.3001
Human,incorrect,GS,VL,-0.0929
Human,incorrect,GS,AS,0.1015
Human,incorrect,GS,MCr,0.1539
Human,incorrect,GS,MCu,0.2260
Human,incorrect,GS,MA,-0.0123
Human,incorrect,GS,VO,0.1840
Human,incorrect,GS,AT,0.3374
Human,incorrect,GS,GS,1.0000
Human,incorrect,GS,QLl,0.1484
Human,incorrect,GS,KNf,0.1825
Human,incorrect,GS,QLq,0.0307
Human,incorrect,GS,CL,0.4240
Human,incorrect,QLl,VL,0.2958
Human,incorrect,QLl,AS,0.2292
Human,incorrect,QLl,MCr,0.4901
Human,incorrect,QLl,MCu,0.3637
Human,incorrect,QLl,MA,0.3612
Human,incorrect,QLl,VO,0.3524
Human,incorrect,QLl,AT,0.3073
Human,incorrect,QLl,GS,0.1484
Human,incorrect,QLl,QLl,1.0000
Human,incorrect,QLl,KNf,0.2346
Human,incorrect,QLl,QLq,0.4568
Human,incorrect,QLl,CL,0.3652
Human,incorrect,KNf,VL,-0.0033
Human,incorrect,KNf,AS,0.0803
Human,incorrect,KNf,MCr,0.1899
Human,incorrect,KNf,MCu,0.1999
Human,incorrect,KNf,MA,0.0485
Human,incorrect,KNf,VO,0.0196
Human,incorrect,KNf,AT,0.2973
Human,incorrect,KNf,GS,0.1825
Human,incorrect,KNf,QLl,0.2346
Human,incorrect,KNf,KNf,1.0000
Human,incorrect,KNf,QLq,0.4279
Human,incorrect,KNf,CL,0.1066
Human,incorrect,QLq,VL,0.1272
Human,incorrect,QLq,AS,0.0880
Human,incorrect,QLq,MCr,0.2708
Human,incorrect,QLq,MCu,0.1969
Human,incorrect,QLq,MA,0.2509
Human,incorrect,QLq,VO,0.2978
Human,incorrect,QLq,AT,0.2570
Human,incorrect,QLq,GS,0.0307
Human,incorrect,QLq,QLl,0.4568
Human,incorrect,QLq,KNf,0.4279
Human,incorrect,QLq,QLq,1.0000
Human,incorrect,QLq,CL,0.1544
Human,incorrect,CL,VL,0.1099
Human,incorrect,CL,AS,0.1271
Human,incorrect,CL,MCr,0.2558
Human,incorrect,CL,MCu,0.3350
Human,incorrect,CL,MA,0.1257
Human,incorrect,CL,VO,0.3225
Human,incorrect,CL,AT,0.3001
