model,dim,dim_name,emergent,perm_imp_mean,perm_imp_std
GPT-4V-Turbo,MA,Multi-Element Visual Aggregation,yes,0.0008,0.0193
GPT-4V-Turbo,MCu,Calibrating Knowns and Unknowns,no,-0.0006,0.0111
GPT-4V-Turbo,VO,Volume,no,-0.0014,0.0055
GPT-4V-Turbo,AT,Atypicality,no,-0.0045,0.0115
GPT-4V-Turbo,VL,Visual Localization and Grounding,yes,-0.0083,0.0094
InternVL2-26B,MCu,Calibrating Knowns and Unknowns,no,0.0533,0.0243
InternVL2-26B,VO,Volume,no,0.0301,0.0176
InternVL2-26B,GS,Gestalt and Shape Judgment,yes,0.0245,0.0225
InternVL2-26B,AS,Attention and Scan,no,0.0158,0.0141
InternVL2-26B,AT,Atypicality,no,0.0113,0.0108
InternVL2-26B,QLq,Quantitative Reasoning,no,0.0090,0.0092
InternVL2-26B,QLl,Logical Reasoning,no,0.0089,0.0091
InternVL2-26B,MA,Multi-Element Visual Aggregation,yes,0.0035,0.0133
InternVL2-26B,CL,"Conceptualisation, Learning, and Abstraction",no,0.0028,0.0068
InternVL2-26B,MCr,Identifying Relevant Information,no,-0.0021,0.0149
InternVL2-26B,KNf,Formal Sciences,no,-0.0040,0.0082
InternVL2-26B,VL,Visual Localization and Grounding,yes,-0.0107,0.0096
GPT-4o-mini,AS,Attention and Scan,no,0.0268,0.0237
GPT-4o-mini,CL,"Conceptualisation, Learning, and Abstraction",no,0.0124,0.0104
GPT-4o-mini,VL,Visual Localization and Grounding,yes,0.0059,0.0165
GPT-4o-mini,MCr,Identifying Relevant Information,no,0.0044,0.0129
GPT-4o-mini,QLl,Logical Reasoning,no,0.0029,0.0093
GPT-4o-mini,VO,Volume,no,-0.0002,0.0069
GPT-4o-mini,AT,Atypicality,no,-0.0008,0.0165
GPT-4o-mini,KNf,Formal Sciences,no,-0.0008,0.0122
GPT-4o-mini,GS,Gestalt and Shape Judgment,yes,-0.0010,0.0148
GPT-4o-mini,MA,Multi-Element Visual Aggregation,yes,-0.0035,0.0102
GPT-4o-mini,QLq,Quantitative Reasoning,no,-0.0038,0.0122
GPT-4o-mini,MCu,Calibrating Knowns and Unknowns,no,-0.0169,0.0109
Claude-3-Sonnet,GS,Gestalt and Shape Judgment,yes,0.0315,0.0265
Claude-3-Sonnet,AS,Attention and Scan,no,0.0173,0.0178
Claude-3-Sonnet,MCr,Identifying Relevant Information,no,0.0145,0.0197
Claude-3-Sonnet,MA,Multi-Element Visual Aggregation,yes,0.0092,0.0123
Claude-3-Sonnet,VL,Visual Localization and Grounding,yes,0.0084,0.0138
Claude-3-Sonnet,QLq,Quantitative Reasoning,no,0.0056,0.0165
Claude-3-Sonnet,VO,Volume,no,0.0017,0.0040
Claude-3-Sonnet,QLl,Logical Reasoning,no,0.0017,0.0124
Claude-3-Sonnet,CL,"Conceptualisation, Learning, and Abstraction",no,0.0016,0.0076
Claude-3-Sonnet,MCu,Calibrating Knowns and Unknowns,no,0.0014,0.0155
Claude-3-Sonnet,KNf,Formal Sciences,no,-0.0009,0.0106
Claude-3-Sonnet,AT,Atypicality,no,-0.0079,0.0111
Claude-3-Haiku,GS,Gestalt and Shape Judgment,yes,0.0342,0.0223
Claude-3-Haiku,VL,Visual Localization and Grounding,yes,0.0171,0.0162
Claude-3-Haiku,MCu,Calibrating Knowns and Unknowns,no,0.0168,0.0146
Claude-3-Haiku,MA,Multi-Element Visual Aggregation,yes,0.0108,0.0133
Claude-3-Haiku,KNf,Formal Sciences,no,0.0077,0.0112
Claude-3-Haiku,VO,Volume,no,0.0076,0.0126
Claude-3-Haiku,CL,"Conceptualisation, Learning, and Abstraction",no,0.0036,0.0043
Claude-3-Haiku,QLl,Logical Reasoning,no,0.0028,0.0104
Claude-3-Haiku,AS,Attention and Scan,no,0.0014,0.0082
Claude-3-Haiku,QLq,Quantitative Reasoning,no,0.0009,0.0079
Claude-3-Haiku,MCr,Identifying Relevant Information,no,-0.0006,0.0109
Claude-3-Haiku,AT,Atypicality,no,-0.0020,0.0068
Claude-3-Opus,VL,Visual Localization and Grounding,yes,0.0412,0.0246
Claude-3-Opus,GS,Gestalt and Shape Judgment,yes,0.0234,0.0203
Claude-3-Opus,QLq,Quantitative Reasoning,no,0.0231,0.0152
Claude-3-Opus,MA,Multi-Element Visual Aggregation,yes,0.0152,0.0174
Claude-3-Opus,MCu,Calibrating Knowns and Unknowns,no,0.0099,0.0098
Claude-3-Opus,KNf,Formal Sciences,no,0.0027,0.0122
Claude-3-Opus,MCr,Identifying Relevant Information,no,0.0021,0.0128
Claude-3-Opus,AT,Atypicality,no,0.0016,0.0124
Claude-3-Opus,QLl,Logical Reasoning,no,0.0009,0.0090
Claude-3-Opus,VO,Volume,no,-0.0003,0.0059
Claude-3-Opus,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0037,0.0049
Claude-3-Opus,AS,Attention and Scan,no,-0.0047,0.0128
Phi-3-Vision,MCu,Calibrating Knowns and Unknowns,no,0.0416,0.0312
Phi-3-Vision,VL,Visual Localization and Grounding,yes,0.0328,0.0233
Phi-3-Vision,MCr,Identifying Relevant Information,no,0.0243,0.0219
Phi-3-Vision,MA,Multi-Element Visual Aggregation,yes,0.0131,0.0126
Phi-3-Vision,QLl,Logical Reasoning,no,0.0038,0.0095
Phi-3-Vision,AS,Attention and Scan,no,0.0034,0.0103
Phi-3-Vision,CL,"Conceptualisation, Learning, and Abstraction",no,0.0024,0.0061
Phi-3-Vision,KNf,Formal Sciences,no,-0.0000,0.0151
Phi-3-Vision,VO,Volume,no,-0.0002,0.0064
Phi-3-Vision,AT,Atypicality,no,-0.0009,0.0103
Phi-3-Vision,QLq,Quantitative Reasoning,no,-0.0050,0.0070
Phi-3-Vision,GS,Gestalt and Shape Judgment,yes,-0.0051,0.0125
InternVL-Chat-V1-5,MCu,Calibrating Knowns and Unknowns,no,0.0510,0.0320
InternVL-Chat-V1-5,GS,Gestalt and Shape Judgment,yes,0.0452,0.0309
InternVL-Chat-V1-5,VO,Volume,no,0.0162,0.0163
InternVL-Chat-V1-5,AS,Attention and Scan,no,0.0107,0.0115
InternVL-Chat-V1-5,QLl,Logical Reasoning,no,0.0089,0.0088
InternVL-Chat-V1-5,KNf,Formal Sciences,no,0.0074,0.0175
InternVL-Chat-V1-5,CL,"Conceptualisation, Learning, and Abstraction",no,0.0053,0.0106
InternVL-Chat-V1-5,AT,Atypicality,no,0.0042,0.0187
InternVL-Chat-V1-5,MCr,Identifying Relevant Information,no,0.0027,0.0131
InternVL-Chat-V1-5,QLq,Quantitative Reasoning,no,0.0006,0.0086
InternVL-Chat-V1-5,VL,Visual Localization and Grounding,yes,0.0001,0.0044
InternVL-Chat-V1-5,MA,Multi-Element Visual Aggregation,yes,-0.0058,0.0135
Reka-Core,VL,Visual Localization and Grounding,yes,0.0290,0.0178
Reka-Core,MA,Multi-Element Visual Aggregation,yes,0.0214,0.0172
Reka-Core,QLl,Logical Reasoning,no,0.0189,0.0231
Reka-Core,GS,Gestalt and Shape Judgment,yes,0.0188,0.0143
Reka-Core,QLq,Quantitative Reasoning,no,0.0144,0.0141
Reka-Core,AS,Attention and Scan,no,0.0086,0.0135
Reka-Core,MCu,Calibrating Knowns and Unknowns,no,0.0053,0.0127
Reka-Core,CL,"Conceptualisation, Learning, and Abstraction",no,0.0047,0.0077
Reka-Core,VO,Volume,no,0.0027,0.0101
Reka-Core,AT,Atypicality,no,0.0013,0.0046
Reka-Core,MCr,Identifying Relevant Information,no,0.0010,0.0170
Reka-Core,KNf,Formal Sciences,no,-0.0101,0.0107
Ovis1.5-Llama3-8B,AT,Atypicality,no,0.0321,0.0155
Ovis1.5-Llama3-8B,QLq,Quantitative Reasoning,no,0.0252,0.0203
Ovis1.5-Llama3-8B,VO,Volume,no,0.0192,0.0172
Ovis1.5-Llama3-8B,GS,Gestalt and Shape Judgment,yes,0.0189,0.0127
Ovis1.5-Llama3-8B,MA,Multi-Element Visual Aggregation,yes,0.0162,0.0177
Ovis1.5-Llama3-8B,VL,Visual Localization and Grounding,yes,0.0083,0.0146
Ovis1.5-Llama3-8B,MCr,Identifying Relevant Information,no,0.0059,0.0089
Ovis1.5-Llama3-8B,QLl,Logical Reasoning,no,0.0023,0.0126
Ovis1.5-Llama3-8B,MCu,Calibrating Knowns and Unknowns,no,0.0015,0.0113
Ovis1.5-Llama3-8B,KNf,Formal Sciences,no,-0.0018,0.0115
Ovis1.5-Llama3-8B,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0022,0.0076
Ovis1.5-Llama3-8B,AS,Attention and Scan,no,-0.0030,0.0144
Ovis1.5-Gemma2-9B,GS,Gestalt and Shape Judgment,yes,0.0316,0.0169
Ovis1.5-Gemma2-9B,MCu,Calibrating Knowns and Unknowns,no,0.0299,0.0199
Ovis1.5-Gemma2-9B,AT,Atypicality,no,0.0053,0.0085
Ovis1.5-Gemma2-9B,AS,Attention and Scan,no,0.0048,0.0131
Ovis1.5-Gemma2-9B,QLq,Quantitative Reasoning,no,0.0042,0.0150
Ovis1.5-Gemma2-9B,MA,Multi-Element Visual Aggregation,yes,0.0025,0.0181
Ovis1.5-Gemma2-9B,MCr,Identifying Relevant Information,no,-0.0005,0.0123
Ovis1.5-Gemma2-9B,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0014,0.0050
Ovis1.5-Gemma2-9B,QLl,Logical Reasoning,no,-0.0022,0.0086
Ovis1.5-Gemma2-9B,VO,Volume,no,-0.0023,0.0058
Ovis1.5-Gemma2-9B,VL,Visual Localization and Grounding,yes,-0.0065,0.0112
Ovis1.5-Gemma2-9B,KNf,Formal Sciences,no,-0.0101,0.0077
Cambrian-34B,GS,Gestalt and Shape Judgment,yes,0.0321,0.0187
Cambrian-34B,MA,Multi-Element Visual Aggregation,yes,0.0265,0.0229
Cambrian-34B,VL,Visual Localization and Grounding,yes,0.0251,0.0125
Cambrian-34B,CL,"Conceptualisation, Learning, and Abstraction",no,0.0049,0.0075
Cambrian-34B,VO,Volume,no,0.0033,0.0068
Cambrian-34B,MCr,Identifying Relevant Information,no,0.0027,0.0185
Cambrian-34B,QLl,Logical Reasoning,no,0.0014,0.0135
Cambrian-34B,MCu,Calibrating Knowns and Unknowns,no,-0.0026,0.0182
Cambrian-34B,QLq,Quantitative Reasoning,no,-0.0043,0.0125
Cambrian-34B,KNf,Formal Sciences,no,-0.0057,0.0151
Cambrian-34B,AS,Attention and Scan,no,-0.0067,0.0103
