model,dim,dim_name,emergent,perm_imp_mean,perm_imp_std
Mini-Gemini-HD-LLaMA3-8B,VL,Visual Localization and Grounding,yes,0.0190,0.0294
Mini-Gemini-HD-LLaMA3-8B,AS,Attention and Scan,no,0.0114,0.0110
Mini-Gemini-HD-LLaMA3-8B,MCr,Identifying Relevant Information,no,0.0105,0.0129
Mini-Gemini-HD-LLaMA3-8B,QLq,Quantitative Reasoning,no,0.0103,0.0116
Mini-Gemini-HD-LLaMA3-8B,VO,Volume,no,0.0031,0.0115
Mini-Gemini-HD-LLaMA3-8B,GS,Gestalt and Shape Judgment,yes,0.0018,0.0177
Mini-Gemini-HD-LLaMA3-8B,QLl,Logical Reasoning,no,0.0010,0.0088
Mini-Gemini-HD-LLaMA3-8B,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0022,0.0079
Mini-Gemini-HD-LLaMA3-8B,KNf,Formal Sciences,no,-0.0065,0.0110
Mini-Gemini-HD-LLaMA3-8B,AT,Atypicality,no,-0.0074,0.0116
MiniCPM-V2,MA,Multi-Element Visual Aggregation,yes,0.0217,0.0236
MiniCPM-V2,MCu,Calibrating Knowns and Unknowns,no,0.0158,0.0238
MiniCPM-V2,AS,Attention and Scan,no,0.0082,0.0135
MiniCPM-V2,VO,Volume,no,0.0067,0.0117
MiniCPM-V2,GS,Gestalt and Shape Judgment,yes,0.0056,0.0265
MiniCPM-V2,AT,Atypicality,no,0.0054,0.0189
MiniCPM-V2,VL,Visual Localization and Grounding,yes,0.0043,0.0152
MiniCPM-V2,KNf,Formal Sciences,no,0.0034,0.0231
MiniCPM-V2,MCr,Identifying Relevant Information,no,0.0022,0.0161
MiniCPM-V2,QLl,Logical Reasoning,no,0.0018,0.0117
MiniCPM-V2,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0031,0.0096
MiniCPM-V2,QLq,Quantitative Reasoning,no,-0.0118,0.0199
DeepSeek-VL,CL,"Conceptualisation, Learning, and Abstraction",no,0.0117,0.0215
DeepSeek-VL,MCr,Identifying Relevant Information,no,0.0106,0.0183
DeepSeek-VL,MCu,Calibrating Knowns and Unknowns,no,0.0094,0.0150
DeepSeek-VL,MA,Multi-Element Visual Aggregation,yes,0.0062,0.0391
DeepSeek-VL,KNf,Formal Sciences,no,-0.0001,0.0262
DeepSeek-VL,VO,Volume,no,-0.0020,0.0092
DeepSeek-VL,QLq,Quantitative Reasoning,no,-0.0027,0.0123
DeepSeek-VL,QLl,Logical Reasoning,no,-0.0033,0.0151
DeepSeek-VL,GS,Gestalt and Shape Judgment,yes,-0.0039,0.0249
DeepSeek-VL,AS,Attention and Scan,no,-0.0068,0.0187
DeepSeek-VL,AT,Atypicality,no,-0.0072,0.0122
DeepSeek-VL,VL,Visual Localization and Grounding,yes,-0.0140,0.0168
IDEFICS-2-Chatty,GS,Gestalt and Shape Judgment,yes,0.0303,0.0373
IDEFICS-2-Chatty,MA,Multi-Element Visual Aggregation,yes,0.0064,0.0286
IDEFICS-2-Chatty,KNf,Formal Sciences,no,0.0039,0.0255
IDEFICS-2-Chatty,QLl,Logical Reasoning,no,0.0034,0.0173
IDEFICS-2-Chatty,MCr,Identifying Relevant Information,no,0.0015,0.0107
IDEFICS-2-Chatty,AS,Attention and Scan,no,0.0010,0.0187
IDEFICS-2-Chatty,VO,Volume,no,-0.0018,0.0257
IDEFICS-2-Chatty,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0027,0.0148
IDEFICS-2-Chatty,VL,Visual Localization and Grounding,yes,-0.0046,0.0163
IDEFICS-2-Chatty,AT,Atypicality,no,-0.0053,0.0204
IDEFICS-2-Chatty,QLq,Quantitative Reasoning,no,-0.0089,0.0140
IDEFICS-2-Chatty,MCu,Calibrating Knowns and Unknowns,no,-0.0113,0.0091
SPHINX-V2-13B,MA,Multi-Element Visual Aggregation,yes,0.0255,0.0183
SPHINX-V2-13B,KNf,Formal Sciences,no,0.0172,0.0164
SPHINX-V2-13B,VO,Volume,no,0.0150,0.0133
SPHINX-V2-13B,QLq,Quantitative Reasoning,no,0.0053,0.0167
SPHINX-V2-13B,AS,Attention and Scan,no,0.0019,0.0189
SPHINX-V2-13B,VL,Visual Localization and Grounding,yes,-0.0013,0.0133
SPHINX-V2-13B,AT,Atypicality,no,-0.0017,0.0105
SPHINX-V2-13B,MCr,Identifying Relevant Information,no,-0.0023,0.0152
SPHINX-V2-13B,QLl,Logical Reasoning,no,-0.0036,0.0121
SPHINX-V2-13B,MCu,Calibrating Knowns and Unknowns,no,-0.0052,0.0168
SPHINX-V2-13B,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0054,0.0081
SPHINX-V2-13B,GS,Gestalt and Shape Judgment,yes,-0.0068,0.0224
Qwen-VL-Plus,MA,Multi-Element Visual Aggregation,yes,0.0483,0.0351
Qwen-VL-Plus,GS,Gestalt and Shape Judgment,yes,0.0331,0.0370
Qwen-VL-Plus,KNf,Formal Sciences,no,0.0124,0.0230
Qwen-VL-Plus,VO,Volume,no,0.0014,0.0067
Qwen-VL-Plus,QLl,Logical Reasoning,no,-0.0007,0.0121
Qwen-VL-Plus,CL,"Conceptualisation, Learning, and Abstraction",no,-0.0046,0.0192
Qwen-VL-Plus,QLq,Quantitative Reasoning,no,-0.0054,0.0119
Qwen-VL-Plus,VL,Visual Localization and Grounding,yes,-0.0055,0.0179
Qwen-VL-Plus,AT,Atypicality,no,-0.0081,0.0169
Qwen-VL-Plus,AS,Attention and Scan,no,-0.0100,0.0115
Qwen-VL-Plus,MCr,Identifying Relevant Information,no,-0.0138,0.0134
Qwen-VL-Plus,MCu,Calibrating Knowns and Unknowns,no,-0.0160,0.0202
LLaVA-1-6-Mistral-7B,GS,Gestalt and Shape Judgment,yes,0.0336,0.0330
LLaVA-1-6-Mistral-7B,AS,Attention and Scan,no,0.0208,0.0323
LLaVA-1-6-Mistral-7B,CL,"Conceptualisation, Learning, and Abstraction",no,0.0049,0.0134
LLaVA-1-6-Mistral-7B,QLq,Quantitative Reasoning,no,0.0026,0.0180
LLaVA-1-6-Mistral-7B,MCr,Identifying Relevant Information,no,0.0012,0.0163
LLaVA-1-6-Mistral-7B,MA,Multi-Element Visual Aggregation,yes,0.0010,0.0205
LLaVA-1-6-Mistral-7B,KNf,Formal Sciences,no,0.0006,0.0252
LLaVA-1-6-Mistral-7B,VO,Volume,no,-0.0015,0.0134
LLaVA-1-6-Mistral-7B,VL,Visual Localization and Grounding,yes,-0.0059,0.0143
LLaVA-1-6-Mistral-7B,QLl,Logical Reasoning,no,-0.0087,0.0135
LLaVA-1-6-Mistral-7B,AT,Atypicality,no,-0.0131,0.0197
LLaVA-1-6-Mistral-7B,MCu,Calibrating Knowns and Unknowns,no,-0.0156,0.0231
ChartGemma,MA,Multi-Element Visual Aggregation,yes,0.0225,0.0280
ChartGemma,CL,"Conceptualisation, Learning, and Abstraction",no,0.0097,0.0252
ChartGemma,VL,Visual Localization and Grounding,yes,0.0066,0.0312
ChartGemma,QLl,Logical Reasoning,no,0.0063,0.0093
ChartGemma,VO,Volume,no,0.0035,0.0160
ChartGemma,MCu,Calibrating Knowns and Unknowns,no,-0.0034,0.0344
ChartGemma,MCr,Identifying Relevant Information,no,-0.0066,0.0134
ChartGemma,AT,Atypicality,no,-0.0070,0.0193
ChartGemma,AS,Attention and Scan,no,-0.0075,0.0176
ChartGemma,QLq,Quantitative Reasoning,no,-0.0084,0.0159
ChartGemma,GS,Gestalt and Shape Judgment,yes,-0.0121,0.0330
ChartGemma,KNf,Formal Sciences,no,-0.0138,0.0123
GPT-4o-Random,GS,Gestalt and Shape Judgment,yes,0.0716,0.0457
GPT-4o-Random,MA,Multi-Element Visual Aggregation,yes,0.0358,0.0297
GPT-4o-Random,QLq,Quantitative Reasoning,no,0.0122,0.0334
GPT-4o-Random,MCr,Identifying Relevant Information,no,0.0084,0.0225
GPT-4o-Random,QLl,Logical Reasoning,no,0.0060,0.0152
GPT-4o-Random,VL,Visual Localization and Grounding,yes,0.0037,0.0176
GPT-4o-Random,VO,Volume,no,0.0014,0.0102
GPT-4o-Random,CL,"Conceptualisation, Learning, and Abstraction",no,0.0002,0.0118
GPT-4o-Random,KNf,Formal Sciences,no,-0.0025,0.0167
GPT-4o-Random,AS,Attention and Scan,no,-0.0040,0.0168
GPT-4o-Random,MCu,Calibrating Knowns and Unknowns,no,-0.0043,0.0143
GPT-4o-Random,AT,Atypicality,no,-0.0060,0.0167
