sample_idx,target,family,roc_auc,roc_auc_sd,bal_acc,f1,modal_best_params,seed
4,GPT-4o,random_forest,0.6708,0.0499,0.6401,0.6763,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 5}",20260622
4,GPT-4o,hist_gb,0.6354,0.0482,0.5824,0.5962,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260622
4,GPT-4o,xgboost,0.6645,0.044,0.6225,0.6405,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260622
4,Claude-3-5-Sonnet,logistic_regularized,0.6295,0.0309,0.5536,0.332,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260622
4,Claude-3-5-Sonnet,random_forest,0.6419,0.0514,0.5697,0.3665,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 20}",20260622
4,Claude-3-5-Sonnet,hist_gb,0.6227,0.0614,0.5836,0.4559,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260622
4,Claude-3-5-Sonnet,xgboost,0.6052,0.0583,0.5623,0.4198,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260622
5,GPT-4o,logistic_regularized,0.6334,0.0352,0.6034,0.64,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260623
5,GPT-4o,random_forest,0.6305,0.0328,0.6003,0.65,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 5}",20260623
5,GPT-4o,hist_gb,0.6012,0.0296,0.5704,0.5998,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260623
5,GPT-4o,xgboost,0.6085,0.0373,0.5843,0.6161,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260623
5,Claude-3-5-Sonnet,logistic_regularized,0.5751,0.0668,0.5366,0.2038,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260623
5,Claude-3-5-Sonnet,random_forest,0.5651,0.0545,0.4978,0.0233,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260623
5,Claude-3-5-Sonnet,hist_gb,0.5562,0.0781,0.5293,0.3856,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_leaf_nodes': 31}",20260623
5,Claude-3-5-Sonnet,xgboost,0.5327,0.0665,0.5243,0.3814,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260623
6,GPT-4o,logistic_regularized,0.6579,0.0544,0.6133,0.5599,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260624
6,GPT-4o,random_forest,0.6338,0.0521,0.6095,0.5544,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260624
6,GPT-4o,hist_gb,0.6046,0.0611,0.5748,0.5349,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_leaf_nodes': 15}",20260624
6,GPT-4o,xgboost,0.5934,0.0621,0.5843,0.5373,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260624
6,Claude-3-5-Sonnet,logistic_regularized,0.6369,0.0839,0.5744,0.3932,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260624
6,Claude-3-5-Sonnet,random_forest,0.6513,0.0738,0.5485,0.2732,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 5}",20260624
6,Claude-3-5-Sonnet,hist_gb,0.6104,0.0793,0.5773,0.4548,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260624
6,Claude-3-5-Sonnet,xgboost,0.5855,0.0796,0.5691,0.4231,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260624
7,GPT-4o,logistic_regularized,0.6162,0.0701,0.568,0.5981,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260625
7,GPT-4o,random_forest,0.6116,0.0511,0.5836,0.649,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 5}",20260625
7,GPT-4o,hist_gb,0.6053,0.0569,0.5725,0.5976,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_leaf_nodes': 31}",20260625
7,GPT-4o,xgboost,0.6272,0.0556,0.5923,0.6274,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260625
7,Claude-3-5-Sonnet,logistic_regularized,0.5986,0.0464,0.5401,0.2931,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260625
7,Claude-3-5-Sonnet,random_forest,0.6008,0.0415,0.5251,0.23,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 5}",20260625
7,Claude-3-5-Sonnet,hist_gb,0.6045,0.0582,0.5799,0.4612,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_leaf_nodes': 31}",20260625
7,Claude-3-5-Sonnet,xgboost,0.6115,0.0647,0.593,0.4897,"{'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260625
8,GPT-4o,logistic_regularized,0.6658,0.0465,0.6151,0.6117,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260626
8,GPT-4o,random_forest,0.6662,0.0491,0.6088,0.622,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260626
8,GPT-4o,hist_gb,0.6431,0.0555,0.6195,0.6105,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260626
8,GPT-4o,xgboost,0.6559,0.0561,0.6202,0.6232,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260626
8,Claude-3-5-Sonnet,logistic_regularized,0.638,0.0491,0.5717,0.3868,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260626
8,Claude-3-5-Sonnet,random_forest,0.6431,0.0477,0.5477,0.2991,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260626
8,Claude-3-5-Sonnet,hist_gb,0.5946,0.0467,0.5544,0.4236,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260626
8,Claude-3-5-Sonnet,xgboost,0.5998,0.054,0.5559,0.417,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260626
9,GPT-4o,logistic_regularized,0.6164,0.0453,0.5724,0.5967,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260627
9,GPT-4o,random_forest,0.618,0.0589,0.5988,0.628,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260627
9,GPT-4o,hist_gb,0.6057,0.0506,0.5674,0.5824,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_leaf_nodes': 15}",20260627
9,GPT-4o,xgboost,0.5888,0.0425,0.585,0.6071,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260627
9,Claude-3-5-Sonnet,logistic_regularized,0.5638,0.0445,0.5197,0.2475,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260627
9,Claude-3-5-Sonnet,random_forest,0.5747,0.056,0.5141,0.1388,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 20}",20260627
9,Claude-3-5-Sonnet,hist_gb,0.5474,0.0552,0.5354,0.4009,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_leaf_nodes': 31}",20260627
9,Claude-3-5-Sonnet,xgboost,0.5414,0.0514,0.5411,0.4241,"{'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260627
10,GPT-4o,logistic_regularized,0.6631,0.0509,0.6179,0.6237,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260628
10,GPT-4o,random_forest,0.6622,0.0428,0.6137,0.636,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260628
10,GPT-4o,hist_gb,0.6236,0.0517,0.6039,0.6123,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260628
10,GPT-4o,xgboost,0.634,0.0514,0.5982,0.6001,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260628
10,Claude-3-5-Sonnet,logistic_regularized,0.6502,0.0329,0.5656,0.3613,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260628
10,Claude-3-5-Sonnet,random_forest,0.6325,0.0419,0.5246,0.1763,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260628
10,Claude-3-5-Sonnet,hist_gb,0.5542,0.0477,0.5207,0.3529,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260628
10,Claude-3-5-Sonnet,xgboost,0.5866,0.0398,0.5486,0.3752,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260628
11,GPT-4o,logistic_regularized,0.6492,0.0554,0.6185,0.6309,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260629
11,GPT-4o,random_forest,0.6374,0.0546,0.6133,0.6473,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260629
11,GPT-4o,hist_gb,0.5892,0.0532,0.5531,0.5606,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260629
11,GPT-4o,xgboost,0.5756,0.0508,0.5721,0.5829,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260629
11,Claude-3-5-Sonnet,logistic_regularized,0.5765,0.0469,0.5251,0.1999,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260629
11,Claude-3-5-Sonnet,random_forest,0.5839,0.0498,0.5551,0.3263,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}",20260629
11,Claude-3-5-Sonnet,hist_gb,0.5623,0.0491,0.5468,0.4117,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260629
11,Claude-3-5-Sonnet,xgboost,0.5688,0.048,0.573,0.4427,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260629
12,GPT-4o,logistic_regularized,0.6501,0.0689,0.6052,0.6076,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260630
12,GPT-4o,random_forest,0.6397,0.0749,0.6227,0.6331,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260630
12,GPT-4o,hist_gb,0.6024,0.0571,0.5723,0.5689,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260630
12,GPT-4o,xgboost,0.5833,0.0629,0.5706,0.5673,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260630
12,Claude-3-5-Sonnet,logistic_regularized,0.6262,0.0685,0.5709,0.3388,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260630
12,Claude-3-5-Sonnet,random_forest,0.6337,0.0608,0.5446,0.2275,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 5}",20260630
12,Claude-3-5-Sonnet,hist_gb,0.5516,0.0477,0.5493,0.3825,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260630
12,Claude-3-5-Sonnet,xgboost,0.5666,0.0512,0.5651,0.3936,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260630
13,GPT-4o,logistic_regularized,0.6947,0.0438,0.6412,0.6431,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260631
13,GPT-4o,random_forest,0.7023,0.0603,0.6481,0.6671,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 5}",20260631
13,GPT-4o,hist_gb,0.6716,0.0506,0.6301,0.6323,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260631
13,GPT-4o,xgboost,0.6845,0.0435,0.6393,0.6489,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260631
13,Claude-3-5-Sonnet,logistic_regularized,0.6014,0.0488,0.5784,0.4225,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260631
13,Claude-3-5-Sonnet,random_forest,0.6076,0.0367,0.556,0.4071,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}",20260631
13,Claude-3-5-Sonnet,hist_gb,0.5706,0.0561,0.5576,0.4449,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260631
13,Claude-3-5-Sonnet,xgboost,0.5727,0.0482,0.5616,0.4426,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260631
14,GPT-4o,logistic_regularized,0.6416,0.0403,0.5792,0.6608,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260632
14,GPT-4o,random_forest,0.6218,0.0416,0.5867,0.6928,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260632
14,GPT-4o,hist_gb,0.6149,0.0472,0.5979,0.6563,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260632
14,GPT-4o,xgboost,0.6141,0.0388,0.5801,0.6538,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260632
14,Claude-3-5-Sonnet,logistic_regularized,0.6097,0.0616,0.5006,0.1436,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260632
14,Claude-3-5-Sonnet,random_forest,0.6104,0.0553,0.4945,0.0423,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 5}",20260632
14,Claude-3-5-Sonnet,hist_gb,0.5642,0.0486,0.5376,0.365,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260632
14,Claude-3-5-Sonnet,xgboost,0.5653,0.0536,0.5573,0.3797,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260632
15,GPT-4o,logistic_regularized,0.6675,0.0437,0.6347,0.6498,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260633
15,GPT-4o,random_forest,0.6524,0.0462,0.6189,0.6624,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260633
15,GPT-4o,hist_gb,0.6457,0.0665,0.6199,0.6315,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.1, 'clf__max_leaf_nodes': 15}",20260633
15,GPT-4o,xgboost,0.6367,0.0428,0.603,0.629,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260633
15,Claude-3-5-Sonnet,logistic_regularized,0.6145,0.0439,0.5836,0.4043,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260633
15,Claude-3-5-Sonnet,random_forest,0.6087,0.0471,0.5014,0.0498,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260633
15,Claude-3-5-Sonnet,hist_gb,0.5905,0.0718,0.5726,0.4351,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260633
15,Claude-3-5-Sonnet,xgboost,0.5848,0.0645,0.5812,0.4361,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260633
16,GPT-4o,logistic_regularized,0.644,0.047,0.6043,0.623,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260634
16,GPT-4o,random_forest,0.6393,0.0558,0.61,0.642,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 50}",20260634
16,GPT-4o,hist_gb,0.6116,0.0367,0.5823,0.5933,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260634
16,GPT-4o,xgboost,0.6227,0.0503,0.5874,0.604,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260634
16,Claude-3-5-Sonnet,logistic_regularized,0.5876,0.0593,0.5299,0.2181,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260634
16,Claude-3-5-Sonnet,random_forest,0.583,0.0575,0.5066,0.0455,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260634
16,Claude-3-5-Sonnet,hist_gb,0.5669,0.0256,0.5422,0.3642,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260634
16,Claude-3-5-Sonnet,xgboost,0.5749,0.0358,0.5561,0.3586,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260634
17,GPT-4o,logistic_regularized,0.6485,0.0577,0.6236,0.6536,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",20260635
17,GPT-4o,random_forest,0.6416,0.0417,0.6048,0.6479,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 5}",20260635
17,GPT-4o,hist_gb,0.6225,0.0359,0.5971,0.6147,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260635
17,GPT-4o,xgboost,0.6414,0.037,0.6136,0.6273,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260635
17,Claude-3-5-Sonnet,logistic_regularized,0.6257,0.0546,0.5663,0.3512,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'clf__penalty': 'elasticnet'}",20260635
17,Claude-3-5-Sonnet,random_forest,0.6243,0.0762,0.534,0.2077,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260635
17,Claude-3-5-Sonnet,hist_gb,0.5883,0.0555,0.562,0.4168,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 15}",20260635
17,Claude-3-5-Sonnet,xgboost,0.5669,0.0725,0.5537,0.3931,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260635
18,GPT-4o,logistic_regularized,0.6668,0.0537,0.623,0.6554,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260636
18,GPT-4o,random_forest,0.6541,0.0559,0.6244,0.6717,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50}",20260636
18,GPT-4o,hist_gb,0.6162,0.0532,0.59,0.6153,"{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260636
18,GPT-4o,xgboost,0.6274,0.0605,0.6172,0.6442,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260636
18,Claude-3-5-Sonnet,logistic_regularized,0.5918,0.0377,0.5566,0.3268,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",20260636
18,Claude-3-5-Sonnet,random_forest,0.5913,0.0265,0.506,0.0638,"{'clf__max_depth': 2, 'clf__min_samples_leaf': 5}",20260636
18,Claude-3-5-Sonnet,hist_gb,0.5549,0.0523,0.55,0.3886,"{'clf__l2_regularization': 1.0, 'clf__learning_rate': 0.05, 'clf__max_leaf_nodes': 31}",20260636
18,Claude-3-5-Sonnet,xgboost,0.5566,0.0331,0.5252,0.2977,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__subsample': 0.8}",20260636
